GenotypeID,Yield_NE,Yield_MI,predicted_yield
CO117,215.231994050754,155.983588255058,338.545845504146
CO125,161.399843076495,207.595718645567,360.336399342026
CO158,435.155350837593,216.64572886735,418.924806543712
CO192,375.531998142891,145.564876339471,398.709620211168
CO245,324.972342600091,182.420224440968,351.162514199564
CO255,469.218396227275,210.525262218676,456.413011280006
CO256,230.984129459657,90.0521932253949,372.050244395611
CO257,137.961412913067,166.935741639647,378.605196447254
CO258,462.68147656094,311.900085649629,538.864848324408
CQ702RC,573.937085097107,226.15104201673,588.164210380742
CQ806,539.339015100236,281.861583717323,559.887699165004
CR14,505.128602209212,232.551918367367,473.20155066574
CR1HT,562.105864043958,208.194563955517,536.953007540339
CS405,680.915284096353,310.339035632036,586.067193530611
CS608,532.567424116936,248.656129686663,487.410966350654
CSJ3,194.295284569834,141.391182026865,371.686901549329
DE1,624.476648235073,253.894745087991,585.017926640094
DE2,626.060345022799,346.118168689806,592.617179825743
DE3,507.777847475005,295.982718544626,541.632870548038
DE4,645.105641145716,243.964148197176,575.784165386887
DE811,518.748553659936,184.235638513255,531.480649215645
DJ7,753.591265175731,272.396108806817,649.3750456367
DK3IBZ2,426.587268696856,243.095873152101,498.315408969423
DK3IIH6,619.456614784172,307.296354115574,571.078808154823
DK4676A,623.821263410569,246.61263455489,574.69170775551
DK6F545,544.324423005962,325.630993461416,605.325842382101
DK78002A,526.996773236444,285.833202637793,569.130275030918
DK78010,581.644430386706,243.430338510417,576.432891682969
DK78371A,681.670666945263,440.288051894998,598.358400347972
DK83IBI3,649.671333602815,288.312410286167,587.97592628758
DK84BRQ4,413.484678157486,313.622958029829,540.660688095888
DK84QAB1,621.934349010804,310.418627195986,592.031458839143
DK8F196,532.23413894126,302.460234352414,581.207768676687
DK8M116,579.768962709824,339.442712168971,527.617694601385
DK8M129,761.737094127152,395.600545492036,619.470277930979
DKF274,580.220649468265,307.174952549672,566.136086099486
DKFBHJ,501.620209326324,183.167012457511,536.1338777834
DKHBA1,563.469347950614,295.648984160452,599.215574054799
DKIB014,531.11342796384,232.100925682537,571.339383096682
DKIB02,515.486132184278,236.135482448878,545.316425656164
DKMBNA,537.777517981138,229.617512285937,526.554982790927
DKMBUB,610.94023530958,329.861411137033,574.994777171324
DKMBZA,647.260711736188,240.658196297004,626.75183561755
DKMFD-13D,640.742933893597,294.689584499057,594.517785434611
DKMM402A,449.34074170055,323.404714335008,546.873809101924
DKNL001,552.956554829541,265.630094253337,600.523417766251
DKPB80,655.894255653008,341.320573324732,635.974664013682
DKWDAD1,619.25184994105,289.98337422835,627.720142875316
E8501,407.171199260583,297.689722764866,488.364538260506
Eng-Li_Chih,552.628648517379,241.634708985255,438.905321243656
EP1,286.323517285122,142.773721144513,388.236881394656
F115,284.259576856836,111.461438147276,390.177600103282
F118,598.82512948881,255.731441680789,577.780483598266
F2834T,490.61492545765,171.145962581926,437.809377915043
F42,737.412629539974,222.042151924464,649.387694539518
F7,198.891475939547,105.653996189087,377.731127763749
FBLA,596.552336541191,270.200657267885,546.64771102532
FBLL,690.721276012474,221.036530080279,610.174201489312
Fe,317.116916528311,146.409476421159,429.221417632499
FR19,498.932082853148,192.604822298771,489.425182549787
G22_T122,130.734667602467,129.922155219068,295.883605588193
G3_T5a,184.711982414301,58.709717650418,305.707141240544
GE129,258.402604990134,73.1371402211777,378.852810290614
GE54,399.325477828328,222.427608165103,426.68528153238
H105W,492.593419994704,206.62714346627,526.414767403144
H110,369.766579365109,167.171808060832,408.349418824823
H113,298.04348736575,128.665868682887,405.071511347095
H114,481.529765913562,255.876167156639,506.014073660613
H121,475.925490304924,205.613710177105,459.550288043909
H122w,580.748381510666,278.881227843918,587.720264837035
H124w,397.564758228846,190.207728903331,444.786949440499
H14,383.594412035852,40.0340675569651,440.595755133346
H49,508.190140341959,375.439280813484,496.263197716449
H5,454.425682045846,246.853583861233,466.488760311096
H52,241.294774593246,35.8260672109041,369.305208079335
H71,438.76505330053,254.17833566144,433.297706727509
