GenotypeID,Days to pollen,Days to silk,Root lodging rate,Stalk lodging rate,Leaf length,Leaf width,Plant height,Leaf number,Number of nodes with brace roots,Branches per tassel,Tassel length,Tassel branch zone length,Tassel spike length,TotalGrainMassGrams_NEmean,Yield_MImean
DK4676A,69.917275330145,69.5063635439832,61.5632086563625,3.15373583777302,82.6358506091631,7.2142364892298,176.343494483366,12.6450488222638,1.02391085447218,2.12552934754281,28.057504712151,4.58689711717559,23.585694675599,623.821263410569,493.22526910978
DK6F545,75.324189113057,78.265806100579,10.4721490731557,4.0177482420663,72.0976522973534,9.57735125688578,171.297973703185,12.616295295495,1.9101323570397,6.34349340730435,29.7321631762984,7.11009958869177,22.4831202047577,544.324423005962,651.261986922832
DK78002A,71.672322255427,73.9438672670162,-7.19251186740194,0.138558615384183,92.846576747388,6.8551918373107,187.385004159254,13.4996973691882,1.04570807737665,9.55773374712527,29.7595072502834,9.61793880331357,20.2056754729481,526.996773236444,571.666405275586
DK78010,70.8538142218721,73.9609983811706,5.18537295939982,-0.0749976669393446,77.4943983418806,7.61275229857258,158.428824939486,13.0910436663603,0.864249556320219,6.40017128327873,29.3674094537714,7.09411602681961,22.5767435186088,581.644430386706,486.860677020834
DK78371A,74.2558623214369,75.0738556924958,-0.457637589932749,0.511451505714851,76.8338287674894,9.35716394739875,188.359388758399,12.8412252904913,0.862991845583194,4.55449947316382,35.696772874058,8.49876641446617,27.8978787990722,681.670666945263,880.576103789996
DK83IBI3,66.0555210706408,69.6586359929221,0.456215611227737,0.0472670634461966,75.4450609976545,7.53371978280416,167.607555184519,11.4895332651018,0.782698197670749,10.499411130317,31.6083311584689,9.25236818261776,22.6956410182359,649.671333602815,576.624820572334
DK84BRQ4,73.183852369007,76.9995976563798,2.01739169783081,2.04591365744757,75.3175173983616,9.43114386679124,179.259887861938,12.7258646761585,2.3115519772705,1.31963955831017,28.9531089851174,2.60584788007267,26.9071290049524,413.484678157486,627.245916059658
DK84QAB1,74.1477902805183,74.4511945140448,-1.22543127495054,0.763257606327725,81.5417722724816,9.33463198166224,174.63664317241,13.5101864154308,1.4489679381611,2.66724376100252,35.1922617889262,8.03424325858931,27.2549589464442,621.934349010804,620.837254391972
DK8F196,73.731783906158,77.8495377312794,-5.89812660385464,24.3555967661067,85.1770122329477,7.48673626956704,195.640306671136,12.714894269849,2.1375597083201,5.33410396244813,39.1001596930204,11.1945436344666,27.8506333817801,532.23413894126,604.920468704828
DK8M116,76.4660098676551,79.9156202360827,6.85529483466735,6.24985086988156,91.2358028962766,8.89026821578694,202.518987164785,13.6659341073826,1.49378516657635,6.51437179958329,35.9010904096042,10.2299828212321,26.127546725602,579.768962709824,678.885424337942
DK8M129,70.7682667073236,73.7481224246947,70.2783679987089,-1.3766594540639,77.5771067875608,8.14461208553135,181.344915281278,12.746537242019,1.63693990954952,8.20575228366165,28.4336052151028,6.55925263618438,21.9782347630727,761.737094127152,791.201090984072
DKF274,77.4510406685197,76.7625121016025,-0.707107500645424,7.73786842579018,78.3142409422235,8.12114192163006,163.603927289677,12.3963904315968,1.00480358911704,3.49472362163321,30.4028569016628,6.1858736754856,25.1103418017741,580.220649468265,614.349905099344
DKFBHJ,72.1115493458582,73.311460629659,28.53359813827,5.44233600302894,83.4601640977048,6.66086494622102,202.683327261015,14.1216118282619,1.69915729307681,7.05456275064128,29.0044964681799,7.2304709978387,21.7296805978833,501.620209326324,366.334024915022
DKHBA1,75.6000390996862,76.9929220596371,39.2603576359322,-0.0295446963539943,87.5768409486469,7.69407099303585,181.33770991001,14.1539419366717,1.02873476919871,9.87568225700579,37.0910821141656,7.32456704355469,29.7588732336393,563.469347950614,591.297968320904
DKIB014,71.4453209309491,73.4417479336087,15.1512373469505,0.40278569892814,75.900176688457,9.05417916538692,172.635915569066,12.4177849958807,1.10816837599694,12.8936397329217,31.752849149045,12.4741418148616,18.9173711894547,531.11342796384,464.201851365074
DKIB02,63.9806119577505,65.4043020485124,-4.84206889465927,2.27386827151182,71.1498486308235,7.80969415656933,177.374797133117,11.8495209118656,0.895201232183437,10.7207957055037,33.6813771160809,11.5920357336718,21.8060714029085,515.486132184278,472.270964897756
DKMBNA,67.3187932818032,73.577078311235,60.6138181335891,0.106288187009603,71.351929786255,8.32687765491437,194.4541071272,12.0364833826511,1.28920238870485,8.45898253287551,34.001259903959,9.12930570977672,24.7364866930411,537.777517981138,459.235024571874
DKMBUB,75.6780892604115,77.587672294051,45.1047264080717,-1.51019602108038,76.4867905994892,9.15593106704431,196.682523230779,13.0119665415014,2.51162476938775,0.0916221045065324,25.7137449203328,0.0623433784326295,25.6081488380622,610.94023530958,659.722822274066
DKMBZA,74.2758321246261,77.385545073322,45.1643968166727,-2.51349691893866,84.6035208852534,8.39448611472089,137.906485205951,12.2801895189189,0.842546120127706,9.24774213558268,37.9906624912501,8.03795512913277,29.6117835839505,647.260711736188,481.316392594008
DKMFD-13D,72.3087536850018,75.4502012751023,2.65398467443707,2.17897643128694,85.3205620546807,9.18973636658634,180.596812454508,11.9088184260152,1.15499712486443,14.2659465895087,39.9570645467128,11.3711102935428,28.3740119249396,640.742933893597,589.379168998114
DKMM402A,71.9221164517979,77.5310783056992,92.7473173950555,-7.09751281540016,72.0363913063802,7.01487140616084,158.466822568551,12.0323457487229,1.00149934191814,0.264978563609257,27.0959110427518,0.0447318521974598,26.7448546746027,449.34074170055,646.809428670016
DKNL001,72.3175333795033,72.7341130181882,8.97836590745147,0.397480980897211,72.2282004500558,6.86352310382629,171.838335682109,13.2469566153946,1.67468620118899,4.52586869189622,24.3889723526916,5.68726427684384,18.5077921495666,552.956554829541,531.260188506674
DKPB80,76.4400887405668,76.8865148054248,42.4215715386152,-0.287364905212683,82.3534789734447,8.46956779996452,194.466679214079,13.8737415610423,1.97913348483625,7.20478119610555,23.3437597528865,7.21081868937467,16.6796578383829,655.894255653008,682.641146649464
DKWDAD1,70.7961266826693,72.4429424120294,-2.59425529652031,-0.396304155289462,79.8662142320891,6.80554148118005,170.762790720321,12.6650077532986,1.79284709790965,7.64387681154149,30.831984864281,9.79470672324675,21.6965126473979,619.25184994105,579.9667484567
E8501,73.2807926611027,78.7309730892238,-4.38962243303954,28.5065906744556,72.5795879001934,8.40856786930904,173.546127370225,12.310248655391,2.3362011228346,4.90983742395698,33.1339998437906,5.94388073118375,27.4704072738315,407.171199260583,595.379445529732
Eng-Li_Chih,67.8127519331803,68.2845352414356,41.0762112824743,-1.1629390940083,84.6595927715684,9.65349630478871,168.955519915893,11.033242782193,0.439921098173183,17.0950008654541,33.9345859056247,10.0391527642221,24.0865758668382,552.628648517379,483.26941797051
EP1,63.0232398754698,64.6723765224742,56.9703299265675,48.6714296532692,56.0271337853532,8.55156732253292,119.358861005006,10.4890558233096,1.34596790939585,14.081557473432,27.2520805477635,9.97660692816154,17.5255645083095,286.323517285122,285.547442289026
F115,65.9237670321621,69.3502591554442,82.173828376141,48.3569185451784,54.8438935375144,8.63968308303924,128.821584425047,8.39679387798749,1.33933969798086,7.62617716856847,25.1175418186912,4.69232594700271,20.7605158876582,284.259576856836,222.922876294552
F118,78.8103114904784,79.0353932245153,-2.72552554685155,83.5454625197966,93.0286400300512,8.92889247221562,176.413589871487,12.2313379012631,2.75817995514188,11.7005808515673,25.1912565212484,10.0363417400952,14.8582717191828,598.82512948881,511.462883361578
F2834T,77.1530486206186,79.8470346812073,59.4002826718339,35.3599070244429,81.9466651333665,7.6243034549635,172.062847404554,14.4228729821688,1.04219943204272,12.1329119125921,41.7665331669891,11.4087163719982,30.4295943148631,490.61492545765,342.291925163852
F42,67.8141644233496,69.3722739345255,10.0086529847627,1.76278798844971,73.7179842563848,7.7790177149076,173.497359972812,10.7763073038001,1.43882520832183,5.31707462387492,31.2385916879368,7.30231278463301,23.7350408954722,737.412629539974,444.084303848928
F7,59.0774275871348,58.8921948888806,87.9255919503345,-0.989707309899748,68.7668494813766,5.68325759232365,113.157369357346,6.39698765929505,-0.156977955436456,2.20780505208171,36.9320177350333,1.83134712922964,34.7658496189906,198.891475939547,211.307992378174
FBLA,69.5996760170562,71.2386506026555,-0.0824692034543038,2.41948909662905,75.4470729234019,7.01277410248383,179.906356552528,12.5046284686465,1.50813357678394,5.83376433552268,29.49315790598,6.90998268310314,22.829958634963,596.552336541191,540.40131453577
FBLL,72.5642849219138,72.6841943793537,-7.37389746861131,5.42567898210594,78.6779181863406,7.90107824282323,183.101651558798,13.1282116289365,1.82527501701361,5.7979678976859,21.7392662807348,8.51512425350784,13.1275668590652,690.721276012474,442.073060160558
Fe,77.3172537073856,80.0697011470355,4.01291878711118,46.8902364173941,66.3913999836687,5.66454224289934,160.13929411121,12.7527487147324,1.46653460270385,17.7442295856204,26.3500440560732,10.7521468781349,15.7523019297497,317.116916528311,292.818952842318
FR19,70.3621612547615,71.6606796141861,4.80842246806276,71.5242969468937,73.978247868767,9.65162106478841,188.304946599789,13.477485107198,1.14020474909555,8.15262811500021,28.9460327939671,7.24538835740315,21.5911641736533,498.932082853148,385.209644597542
G22_T122,60.3158936539566,62.9008740096249,43.9774945312691,44.9341092425387,64.2152333610746,7.26133051360277,138.977163944097,10.5688367282875,0.628010838758784,22.5868662690455,28.0084187181602,9.64302064291421,18.4284098289152,130.734667602467,259.844310438136
G3_T5a,56.4903698482918,56.3090926271932,-0.768791791870638,99.432596635911,61.0101657836029,5.98769288541414,144.136318596719,8.97254321692537,1.29848446012109,8.16175295131973,30.4586723332119,10.2423454816678,20.1513925647992,184.711982414301,117.419435300836
GE129,77.6858669280684,85.0724800706416,7.35196199566261,93.991204039592,69.2141949417989,9.11356778608927,190.98487152217,15.621681755107,0.998839835738139,22.2077768338559,31.3730492395049,12.6202258272126,18.9583797845318,258.402604990134,146.274280442355
GE54,77.5894529881662,83.2900130416972,-5.50261549266226,57.1287461700853,83.1498502208003,10.0953779711949,163.778924976345,12.3132383580895,1.95457854969487,17.6157658493204,28.9479076534375,14.0212303219301,14.9442864972898,399.325477828328,444.855216330206
H105W,70.0885994499737,73.9558551482382,-4.09186509870639,0.179828830082431,86.8879963344258,7.10734529420025,176.055819929658,13.7734622077473,1.65153268484128,9.65674618487773,29.3380648688185,8.44487208772005,20.9961506840888,492.593419994704,413.25428693254
H110,81.910706429346,85.3490265245425,101.817235301499,-1.18397383799415,77.6107045025853,7.17165594069349,NA,13.61434804025,3.06015820010485,7.86450026473337,24.363634697414,8.2375880935941,16.644789132586,369.766579365109,334.343616121664
H113,71.4177422268112,78.5285870632496,-1.45568115019242,2.97127583791911,76.417215603786,7.71218799497909,159.304193240209,11.7110758920851,2.13251646194369,8.14848090529599,41.518068298084,9.61642737542625,32.0324624568609,298.04348736575,257.331737365774
H114,74.2368783870609,75.0284690275688,-2.48702191085444,73.4789600920914,65.0619020523258,8.3182047397997,149.738716231183,13.5682972321875,1.16421006532439,5.17160684861849,27.7918694621664,3.55224929385638,24.4310713556046,481.529765913562,511.752334313278
H121,76.1981763691069,83.7206711986618,98.338137714783,2.32667999308351,81.5640674838418,8.68643555186254,152.842630657819,11.8779803614694,1.1005857030165,10.7571907307955,33.0386327254111,8.54803769542892,24.2451964632792,475.925490304924,411.22742035421
H122w,76.5498649785314,78.3532600209813,5.03410620397447,-0.790536391599754,69.5844929178,8.40081780856231,182.424844346045,14.8509479305566,0.769449000768032,8.69799618639787,33.4220148430641,9.95857467755765,23.5142712902114,580.748381510666,557.762455687836
H124w,76.7851224819226,78.4548572455005,49.9935507151418,-0.531302269867807,88.7587229378863,7.94735998234034,194.601491740125,14.3814884026145,1.4355153973535,7.92037101456599,29.4590387703356,10.047192909997,19.4768522050944,397.564758228846,380.415457806662
H14,77.0144437665654,85.506995483865,-2.61948848225386,59.8811840814857,79.6369459827985,9.69783588441038,194.86332717775,12.5798489038726,1.32176875718473,20.647396264288,36.5526771542189,11.6608725711597,24.8216987102644,383.594412035852,80.0681351139302
H49,74.3798742384143,76.4175910800446,-8.39209382143192,71.8936006134108,80.2419312831614,8.5530837297784,176.481076747188,14.742331745462,1.02287015061305,11.7202264086361,30.9406930727916,10.3974407764386,20.6218157486546,508.190140341959,750.878561626968
H5,71.7874127042686,77.360747688538,88.261771569319,0.958028339636303,82.7247389442824,9.21207257519813,186.407910655121,11.5379818171052,1.33673517009361,10.6905657231098,32.740902271446,10.5333849490928,22.0465566807207,454.425682045846,493.707167722466
H52,87.1699442582732,91.240937388936,99.2439455580427,25.0187893071583,91.7205918748294,9.04974064550243,204.831784799681,15.8280480634706,4.88523494722915,17.0257846879917,36.0144016308695,13.8267287797621,22.3493211212724,241.294774593246,71.6521344218082
H71,74.238008547311,77.4353792670781,50.764184273731,28.9977533156169,80.227848177475,9.49862147516173,185.562284014237,13.9995609950089,1.99731126749479,19.907595956558,29.5530567781531,13.2370383989147,16.3720622410212,438.76505330053,508.35667132288
H84,71.5866278384294,78.0478404610481,3.51058341358528,2.11375321103193,68.8993809384276,7.42542486433872,166.49488884926,14.3559351749959,0.587081609025162,7.64609655659691,26.8207111656303,5.44714205587965,21.567143329606,643.062422891942,715.221854427358
H91,74.5719364937457,76.3089720239646,50.595953082627,5.10462515905169,85.0930959463786,7.9989781403156,179.250736183297,13.8375702499318,1.2650162891273,9.88031469606759,34.8872245488835,8.80241510831487,25.8166212533324,570.143905748648,408.266265007518
H95,72.4702095489212,78.4498162650453,7.36934532465783,1.85561205335088,80.6444406814028,8.33629934976572,163.784942222551,11.8346202734278,1.11758727218953,10.3789537710794,31.9351755839832,8.5835126746214,23.1026960516383,388.121320455649,325.79678024935
H99,72.7684365497536,75.6095614805094,0.998224060978369,-0.0305952180375985,68.166113816141,7.15359148634606,133.148038827848,11.6032483690447,1.20241058766665,5.75157949866672,23.0883718274206,5.02565558008292,18.7117896830149,399.506780344211,262.25973627756
HB8229,76.5854068912217,80.7365315038966,-2.18102265550102,-0.987938949952226,85.7173418127946,8.04536522045203,157.955664053881,14.7286241293548,1.54370313746262,5.96076957622529,28.0035469930465,5.37426811997071,22.5971062270676,477.301059850045,706.346067708088
Hi26,81.3263522501295,83.5437101596485,46.82350898924,48.3234429861144,94.9687441969248,9.12192812960025,172.592203249741,13.4103546804238,0.972879634383575,11.467382289527,36.5241521927,9.09853713847894,27.7555026844842,139.016431283086,373.891900560508
HP301,75.3443391021798,79.1873655934211,46.7718062442479,50.4492083988363,82.0990737247213,7.57084381527905,172.294988409282,14.6155158846855,0.727025311307344,17.4258368738939,36.6067555252868,15.327964028534,21.632801387335,238.535732668498,192.305186537043
HP72-11,76.792933625513,80.5481136368845,44.9430760204634,9.93749476130911,87.7975463431031,7.63233117434176,177.743238349123,11.9848315690237,0.788739922237333,14.894000064623,33.5626313667506,13.6278381653965,19.6575910825252,239.408176486044,260.523893929806
Huanyao,74.0451838605244,75.5184076523023,-0.108133163094569,59.3921106297187,75.1128758539123,8.49909745871961,185.349181599664,14.5334910930528,2.49460079226329,20.9225395038783,31.308637780475,7.42052054123052,23.5048315768334,627.376430423611,370.449201761832
Huobai,78.6520321586376,76.7970725590022,98.7615374905659,1.0725690298531,70.9070857042904,8.83000376529917,198.84952894282,16.0721326344542,4.58671470958036,12.1274404491307,28.2655979394986,7.81069473704449,20.427721638873,705.279921221686,216.512816453144
Hy,73.6852837247312,80.2748572762705,43.3680628703303,45.3578510739911,84.311870194042,7.6508042587206,210.029151501425,13.5236304660165,2.41534056375326,14.9220906367969,30.5509199948805,11.1036995780387,19.3513776474637,544.563273579487,574.806885832128
I29,67.8169745159096,70.0128774666906,11.9971632745014,91.9969525821232,73.749944396646,7.90851473337725,143.236608693209,10.8686579619654,1.73051449589912,12.3260366432198,30.7586001415618,8.98914551974064,22.1770613256903,293.053426946053,205.614405055734
IA2132,63.106114664552,64.6644214314737,105.984908189056,1.443510866916,62.7308629557628,7.10833719404945,134.625676585819,10.1192996866654,0.631002061950588,26.1071609428904,32.2857038723198,16.9892383287895,14.5978766912299,206.476475095015,230.854736410694
Ia453,65.4216053806145,73.6859722975823,48.1655458785711,47.9562446259753,80.0216248907031,7.77716433566835,133.646094329443,11.2054252494358,0.335247681960905,14.842738921192,35.4710952303093,10.7450595940914,24.8524214392273,322.874662388437,312.143327992356
Ia5125B,66.2779001733275,67.3813874781716,0.000581845249182145,101.370757183805,92.7043248892672,6.79217324893213,160.26286397226,11.3812390709194,1.38653138213828,33.2596018981204,26.7491005021941,12.3182755477747,14.1756047377032,425.846846595537,252.395096216692
IBB14,66.6541650505153,69.8633979400786,3.33450409130896,1.28589027073247,71.8122086286939,7.27689392788802,169.323638859934,11.6861189614165,1.3841996354568,7.73990850122793,31.8705199029923,8.14481713186719,24.225418316323,632.05436397608,462.900674485842
IBB15,67.4878068981818,71.0194885567423,-1.16960985255739,-2.04176643365305,78.9956834937426,7.43410947595998,158.051490785854,10.9714826081621,2.1188272227295,11.0352254680295,33.5916285186032,11.9645843338603,21.8489414237291,570.004908429661,478.98583764012
IBC2,69.5071326159385,73.267636413984,-3.5036181830567,-1.54199257103261,73.5262919034654,7.91650798195418,175.672224453922,10.5376299037975,1.04325762492115,9.71372380112563,34.0972641316819,7.93640772537536,26.3907569638353,574.695964693912,521.721488676094
ICI_193,68.902408703477,71.755329796207,5.49656703417076,3.56689372113095,71.5234822359253,7.5761143264536,182.557528494029,13.4185470741927,1.4914841254372,6.79179281576193,30.8207091504021,8.1625258508469,22.6187424180661,721.589702484296,660.799386711962
ICI_441,72.9490904808794,74.973876214058,-5.59820505402966,3.49472772206774,83.3846942480395,7.87427104073569,179.814849997189,13.1238675453202,2.05692090102293,4.41879519505363,32.463827504447,7.32345479528559,25.5529554775038,604.737191420993,681.365232543618
ICI_581,71.573936373298,74.8066329455899,-0.317051190079545,1.30553123790561,72.7357884969389,9.34781314483073,174.806132395998,11.2356084362679,1.20812372063394,4.14309859227132,33.0620131559718,5.3331062522245,27.9929130139335,548.820676818247,529.997445170472
ICI_740,75.3249247871946,75.8610526919632,-5.47349129114583,-0.0439208921504387,84.5469963182781,7.55437832010309,181.111303214576,12.6801794888455,2.05351564344184,5.23642592651436,32.2122417677579,10.5798885479327,22.5445868939664,745.038048966063,630.753487625514
ICI_893,76.721189273161,77.8453220220379,-4.67043859284194,-0.423905063855304,72.4750131241228,7.92357663943073,156.110799456079,13.5193198290865,1.59524232221344,9.19222301275467,30.5957145794391,8.28078236841046,22.3599780361515,543.052551952345,606.299666515458
ICI_986,71.6699996246397,73.3053783736843,45.5830620470244,0.0923949208574982,79.0752037268728,8.39195077279378,176.226054399956,13.1036372701896,1.1813725362849,6.48281066173484,31.0403527548442,8.5915892054524,22.6890380077498,546.691408051795,619.787763298056
IDS28,72.4362706009954,76.6436266967656,113.454639056098,1.93257651390445,71.4369354857305,5.50990204700854,166.548256900342,15.6530515265183,2.98680130511054,23.9924835106096,30.5338601164415,12.8228288514948,17.2156286553926,76.5073408732172,264.728994981814
IDS69,77.0092462931097,80.545854931059,-4.36182949035938,102.451095459786,71.469536423929,7.0093164141634,143.119479050878,12.4320623003913,0.890550143442275,22.3667073030468,29.9799259412698,11.4961589143082,18.4740880012808,237.533393546008,271.759395607782
IDS91,74.7617229487028,77.7206766835243,96.0844736179125,-1.44768254652154,83.8144396079085,7.07503082850401,171.634620106683,12.1630575722987,1.5565010277994,20.4302088386655,34.5088132406179,16.2631053219684,18.6466320811479,312.129193092683,293.685901532148
Il14H,68.4080423131102,75.5540132588883,43.6997237135013,47.9656318461918,84.226727336576,7.41332868022584,183.358818661107,11.1827746582147,0.366083634551479,11.0496495082448,40.2622456317531,12.6498996025302,26.4767889808558,397.086926972541,271.386567854596
Il778d,71.0483434717049,75.0685037234403,-6.0277982041402,102.080182433961,73.9766010317283,8.0962821427265,162.342228741793,11.1407548691811,0.24820845839265,17.0595137610968,36.7149092532174,17.0547734944404,19.8863022587883,343.927784736182,469.230294587242
INB_101LFY/LFY_(A632_X_M16_S5),75.8560142667298,83.6325003225401,2.70765353518392,51.6097218628762,76.6346746242875,5.84349312371764,182.551798577307,15.1148678804735,1.3404563034611,14.4685014630262,28.5516481157696,9.36090431033454,19.2046473373591,309.289575024117,427.720306213752
INBRED_100,81.5871150450033,87.4176007692087,98.5482679156034,-3.63402517376276,72.9452866469618,8.57530224744113,216.013844468852,16.8046788813469,0.927238264938273,14.5346054479385,25.4597027646885,8.36057775883926,17.0026201618971,501.113684020362,103.794749829576
INBRED_109,76.7107903733693,78.7263607986304,-1.4343850131605,98.4795159488226,94.1357625985263,7.19996761666362,175.722294146496,12.5265849290788,0.803226448327065,13.7370926912815,40.3780311279768,15.8378508267766,24.3787107405257,424.857495434271,396.383908443312
INBRED_141,72.6673826172454,75.221828062549,3.62325966998373,96.9733120937579,92.8795958002058,7.29101068938667,216.477282069227,11.1587583101584,1.70177081611078,11.635740975696,36.7498810905319,13.7457149536504,23.2678851664351,606.526444014465,453.7383295853
INBRED_2-687,75.957570475788,78.6918706283214,94.1400927194264,-1.91552366249281,82.0430074191409,7.51036336674657,175.792633017739,11.749217313587,0.887282064371113,14.3763220977165,35.7578654227086,18.8900522369308,15.9437434432501,337.515985508438,247.110933574254
INBRED_305,72.3171897113627,77.3279737513595,-1.72196183264372,-3.68232939154979,69.3934857826421,8.99470385460764,143.073276289249,10.1844506825578,0.966089725900685,16.8761754139521,26.9278726614043,7.2090495837375,19.8364628237431,278.977335920449,308.751178726726
INBRED_309,75.3943227540846,83.9263714218025,16.8275394446586,-0.119565178106956,83.8369281947506,8.37400301603173,170.840244926134,11.5631651302357,0.875645075098596,24.1686018151463,29.5142671312308,10.2014403244531,19.1096375260034,424.067666383641,412.684710814384
INBRED_321,76.9687320406317,80.3076050671087,109.537871397654,-1.05592791560487,82.2763110279717,7.96152322109898,169.708421029349,13.310309295229,1.675526916368,10.2626705419559,26.9588138750216,7.95724879243,18.9962110036445,336.696099234871,233.270303915632
J47,75.6147531593224,78.7764707445422,95.854478092301,-1.72700099224833,89.9675759982033,6.95782141309394,189.450656151638,13.2306413532593,1.15751867424515,8.55857169521038,39.2202221773674,9.18245291501775,30.0239461515036,533.263810543061,587.837486071044
J8606,73.3885687428466,77.4272419649249,-15.8266555649313,7.55178077319427,77.7230670586815,7.47057185324421,195.932556961016,12.0865463345641,1.26648711987235,7.39920998302202,38.8200622372311,12.7889022092292,26.9231798231688,639.416383901943,607.72587270219
K148,76.7884733641673,82.1658923901509,44.1836749520254,48.7184064498345,83.9635371480015,6.81973771672718,167.210776052132,11.3457876691673,2.32605681410949,11.8435522683985,30.4538500636833,9.47001091701907,20.9740145425038,213.804791095746,262.224352250292
K150,71.6611520205594,77.147710724731,6.73585396611712,52.1407441991862,77.620874422667,9.30297779829468,187.937774372026,13.8179862456611,1.14669965356877,16.7279177177045,34.6359539139911,11.8984197374283,23.488037418037,519.71927233665,333.115498226486
K155,79.1509259670846,82.1058802116369,46.2205713232378,49.3722022339412,74.8250640724408,8.25270239194588,209.550709277095,14.8590092035587,0.494883370430485,25.4456248299628,28.9193042482097,16.1670718269838,13.210729859653,529.511701303363,456.71159079481
K201,81.284659423284,81.6042995658664,41.994660545598,30.4448385969142,75.4993932140463,9.44485082104801,218.142217513376,16.7629459061351,1.89388017735943,15.7445430600342,27.5207728982142,11.1914779384148,16.4509185015371,646.715413726638,343.648419981768
K4,83.1023395370574,84.6810436449885,44.6697627897265,47.2730241146341,82.3831258314254,8.93249097656513,192.916761802029,13.888909543952,1.75034874424271,22.2221382306178,31.5325168785409,10.9723426956805,20.5647229269806,249.360132941744,298.703363733168
K41,73.7993149048014,77.4244121187152,94.1692181144995,0.925109276690048,76.559343697955,8.51385185987095,187.873689541728,12.3736884317582,1.2763270965095,19.9325749841646,39.6575155521213,15.7683910266044,24.5246508019248,413.172962736835,369.532172012704
