GenotypeID,StandCount_mean,EarHeightP1_mean,EarHeightP2_mean,EarLeafP1_mean,EarLeafP2_mean,FlagLeafP1_mean,FlagLeafP2_mean,Ear.percent.to.Flag.P1_mean,Ear.percent.to.Flag.P2_mean,LargestLeafLengthP1_mean,LargestLeafNumberP1_mean,LargestLeafWidthP1_mean,Number.of.leaves.largest.to.ear_mean,TasselHeightP1_mean,TasselHeightP2_mean,FlagHeightP1_mean,FlagHeightP2_mean,TasselLengthP1_mean,TasselLengthP2_mean,Weight.of.Dried.Leaf.Disks..mg._mean,Number.of.disks_mean,Specific.Leaf.Weight..mg.disc._mean,Number.of.ears_mean,Total.Weight.of.kernels..g._mean,Anthesisday_mean,DaysToPollen_mean,DaysToSilk_mean,RootLodgingPct_mean,StalkLodgingPct_mean,PoorGerm_mean,PotentialPollenContamination_mean,EarsPerPlant_mean,CobWeightGrams_mean,HundredKernelMassGrams_mean,EarLengthCM_mean,EarWidthCM_mean,EarFilledLengthCM_mean,KernelRowNumber_mean,KernelsPerRow_mean,PercentFill_mean,LeafLengthCM_mean,LeafWidthCM_mean,PlantHeightCM_mean,ExtantLeafNumber1_mean,NodesWithBraceRoots_mean,TillersPerPlant_mean,ExtantLeafNumber2_mean,BranchesPerTassel_mean,TasselLengthCM_mean,BranchZoneLengthCM_mean,TasselSpikeLengthCM_mean,TotalGrainMassGrams_mean
LH192,40.4094690171161,89.3098772179194,86.7979217723323,13.7422617399348,13.6515463320739,19.7402840755253,19.7572568024347,0.695375213374834,0.696382010652383,77.4867122298582,12.4924239036162,7.87351819413096,-1.10145408416388,207.226285809355,205.081084360437,170.496660707547,167.82229847846,36.4812287995442,37.4148605531558,57.743512179533,5.91059600088991,9.70777082952639,3.85705725366107,280.127689781522,65.6817434520379,74.4534807039074,75.8282546531411,11.3849122049683,12.4949149760195,-0.00166006155059922,0.0685693110574115,1.00598934126672,14.6152234119472,23.6882737167772,13.6482090251401,4.05108502872057,12.8886393700332,15.5244550477241,26.1781375612196,94.4842543872072,80.0824226587791,8.17344668481054,187.370580239468,13.5453850349601,1.71406624072034,0.0134168718914587,14.7928021098638,7.10236474156768,30.9062676799335,8.98512845494625,22.0898769176607,640.525293842968
LH193,40.5448502661728,86.9057380097769,82.9756920313817,13.416885678243,13.3235935251162,19.3555217965503,19.3656105741136,0.693782419406929,0.695692339592714,76.5719161308421,12.301275374628,7.59485502181794,-0.920103898455129,201.350268826956,200.344582197637,164.582917990668,162.761315312407,36.673713025473,37.6814880170019,57.7455688675633,5.94389964620554,9.7080617245033,3.93188298721413,280.221358881273,64.2405298019232,73.6908366413519,75.3147519480906,11.5082468636553,10.0658993430051,-0.0176343614734297,0.0684622595293518,1.00238161650955,14.507259925432,23.2349526161662,13.7291499140477,4.00362913685296,12.6924869472396,15.5853665890365,26.0373654633785,92.5924170095267,80.0676015944715,7.88229164024866,184.978796227773,13.2429169865226,1.59123035974543,0.0129266483353284,14.7073941833033,7.95869490168969,31.3763495561983,9.2482695938476,22.4773664216653,641.016585125103
LH194,40.4952481700616,75.0972821895977,76.1676688846128,13.0977320854831,13.111969457726,18.5893063389151,18.6469388449545,0.697715276399472,0.696174514633456,76.3527439628959,12.5292986070921,7.85017305463094,-0.509599897849255,195.390237949943,197.701374500371,156.311000840398,157.149775526591,39.0330143277655,39.8365811502652,57.8297217561114,5.88835316889071,9.7378999538831,3.89754389121531,274.201917618515,63.2376057955401,72.4313167297638,73.5530394316997,14.8984935577342,-0.157710454096641,-0.00296180667262432,0.0677729821358898,1.01368395336259,14.7720160930345,24.7621426788155,13.5577328715991,3.92843647803125,12.7269220154637,14.6247509742128,26.3444292036007,93.5190585065046,78.391521284894,8.04772825928058,171.424751785812,12.5195272001699,1.40566094214806,0.0162406483749964,14.0426586903629,6.28747413758948,30.4118319766691,8.48060129289633,21.8099133149552,652.996875866353
LH195,40.8982353145931,73.1795373285463,71.414325384875,12.9555466631319,12.8040921217048,19.0083211584523,18.6788023993937,0.682329724307341,0.682483058658334,74.4589366526911,12.3947474088631,7.61467896604968,-0.469498458926984,189.796319810243,185.793853468269,153.330341376058,149.871997873907,36.9974724573578,36.7816063998611,57.5495010278594,5.92871453241346,9.71986569068383,3.9843692048533,327.43056506316,63.7888456276481,73.7111251904926,75.2844166930663,4.17946871042246,-1.64599902040981,0.00349799865345451,0.0576345271681036,1.0058311258816,15.7640686700966,23.8361428409993,13.7571456587108,4.00873290360221,12.9788537940302,15.2170247091298,26.9065212412908,93.9587413459021,76.3740863775822,7.97549601050838,164.272806289595,13.0316296394777,1.55702072552517,0.00783542751243671,14.7585204622589,5.68815623581929,30.5902239052683,7.76220334745229,22.6889253843345,676.155071617284
LH196,40.7193663293709,72.2766029593481,73.6266064095094,12.2753342284724,12.4353381889175,18.2629482989346,18.440614552488,0.680110029657412,0.680916238714681,76.3247956459463,11.7321561778297,7.57347859658067,-0.637331993214287,197.321132439824,196.291866101881,157.13928428802,157.172000811777,39.6696198662171,38.6813935327883,57.3335970981356,5.8974903095295,9.67404415880633,3.95466187906732,289.729721162772,62.437767567399,71.8488850061722,72.497220880665,5.32161672177558,7.82636173417626,-0.00934068563598512,0.074719815065573,1.00720684491574,16.3692775049285,23.9515289155456,14.1934659837049,4.08412738886328,13.4062265425004,15.1181557461705,27.4529963870042,93.9818284759039,79.4554104498399,7.70054520643162,176.114349039662,12.8079985978577,1.67180957290036,0.0128399306249676,14.4328169780704,6.4076054761881,30.4443924774451,8.34135517434742,22.1609828565629,695.334232653699
LH197,40.6775234723294,80.6808417116702,79.5788548183124,12.9939362316113,13.0348363183492,18.4488256413031,18.5365392933353,0.694382029688743,0.697138654453497,75.558961587008,11.8743299322593,7.55920813958687,-0.9877200478766,195.923728267464,196.914538878402,155.983426199436,157.425548396134,39.8201712468183,39.1261953226093,57.8305752675086,5.94649087290347,9.76785096121865,4.0062091408704,296.705828400626,64.2968214742155,73.1806994268641,74.5469108940126,7.78698139130337,-1.47200601269714,-0.00890253189641164,0.067721207843549,1.02463283266263,16.5629312620042,23.6958442075652,14.0579648260744,4.05157085652865,12.9340810572424,15.2880216956368,27.4590602076587,92.0642019933379,80.2864009582081,7.87608859400899,175.283665142601,12.5878424989673,1.56216401131956,0.0164583300853632,14.3064526795246,9.88869485328886,31.7366023843364,10.3137807542862,22.1681551598531,686.92043672156
LH198,40.4583244044074,85.1031994562519,87.0061810741786,13.1664987346016,13.3376115894046,19.0749686400118,19.0874906084727,0.691736456130952,0.697415884088268,77.0848544248017,12.26707072456,7.54050241460894,-0.848909188068019,206.640919952951,203.433990318474,167.820886205475,165.770125360456,38.3599541750091,37.1137408521077,57.548951706995,5.90495566977058,9.71985312867317,3.95317100093459,307.392302237876,63.957353629823,73.3603530775023,74.7168572011843,12.2120178115951,0.869940414338622,0.013942987828311,0.0667955463560966,1.00740097211981,16.2817387798416,23.5729098902242,13.9068788511073,3.98525010949759,13.1464171324712,15.5805975598047,27.2719297251558,93.9322152458847,81.3842475737398,7.84877758244261,184.577964849339,13.014345981386,1.68214668569765,0.0205491999952745,14.9059038665546,7.37127849144484,30.5594787570796,8.86766099789522,21.8164458743145,701.292973402538
LH199,40.5357718486904,73.5686510348819,72.5286316108576,12.3211332402158,12.3752537400624,18.2264100105502,18.3510847580513,0.681687425776892,0.679406914119261,77.2303987388006,12.0328047217854,7.56751261185591,-0.361268901187109,199.419691342568,197.656844557892,159.075924860324,157.293209648471,40.4465948192761,39.9237028272761,57.7448836570779,5.93671833484937,9.70799403152098,3.96710979523395,299.710260420245,63.6743020049783,73.0495056484633,74.7789109207838,11.5521398624018,3.3967218890572,-0.00567130484902818,0.0684701940453077,1.00285783365986,15.3299670615379,23.1000616506903,14.1780567853668,3.94405076770704,13.3433469096169,14.8422304670943,26.8920867625149,94.1566651345775,80.7842467674361,7.83499678870579,169.438360158565,12.6185558665749,1.47419950078358,0.0130808761160472,13.9878080792602,6.92909020805084,31.9953944915542,9.24648542977171,23.2750172777984,648.988146999358
LH200,40.8850574798877,73.6517442771078,72.4307883016856,12.88772426852,12.7594911511786,18.9544144434308,18.6750743728177,0.680751205179993,0.679382843266234,74.5241920998056,12.2970591020213,7.49815652468396,-0.480549923787977,193.096015612758,189.919576031765,156.000647362913,153.315447969824,37.3765760829106,37.1271982196663,57.5499727609017,5.95471469160233,9.71984005708167,3.98320402336259,321.678494697619,63.9486366163421,73.5296997632182,75.2202644786119,5.33636489427211,-1.56165897385462,-0.0068168766047543,0.0568138222410784,1.01096599122026,15.5322007686161,23.7298385708764,13.8570106343298,4.03219402070851,13.1387833749341,15.2473658049727,26.9327321214314,94.4491005651814,77.2344042616672,7.80439217222978,167.756826387903,13.0219581388562,1.54840898720973,0.00986058715756962,14.6829966124379,5.98380408588026,30.4462473604097,7.96875073245818,22.3129311277995,684.383215411326
LH202,40.3855179405551,83.2310782807782,83.8030752459649,13.0018036854737,12.9769549143957,18.5435297966681,18.556054747288,0.698050205491997,0.701171401120422,75.8314618864618,12.3288600877253,7.78993451212204,-0.694044571547745,200.544384586629,200.923626144044,164.546241085741,163.071805370686,36.0525972381322,37.591102959031,57.1039841937174,5.87448748476323,9.72809723007149,3.80832316704188,281.671617883442,61.8361860662161,71.7138922472867,73.1579907035023,10.6632775088271,5.54486735165181,0.0122381421930122,0.0602011699373199,1.00540402944506,14.970917301408,24.175814982704,13.5368342384918,3.88121969696564,12.6074724568832,14.7997760775032,25.3955928516461,92.9829003961626,76.7532363074195,8.14131181384447,180.298340597667,12.6915549592794,1.67263755119136,0.0150299042818523,14.4685170297656,6.23163194186422,30.6935595760194,7.70820281403399,23.0466679203636,610.590540524365
LH204,40.8390867647191,77.8123719696307,78.5952966503345,12.8725084264228,12.7417783168198,18.6390661594605,18.5585981494264,0.693645740448935,0.690991064646149,79.0379380643954,12.4301956463101,7.77404521441695,-0.505597317087448,203.655870372241,203.841171569394,163.044384654039,164.591647971361,39.8724611629252,38.9771772724425,57.7956869860728,6.0322376912236,9.6713093973409,3.90982552789511,278.225876014092,62.4708718581825,71.9684895709737,74.8566341190844,12.9932892007806,1.94860831210419,-0.00526179718362573,0.0747689490751815,1.00720745998328,14.6614827971699,23.4110754350016,13.6909780114545,3.89509083231501,12.6111774668762,14.5874935518937,25.7714021735959,91.6600949357731,82.4839804775601,7.77595104804984,178.290185753276,12.816502494808,1.5561929634309,0.0109175883711486,13.9113616344051,6.12143977323806,31.2704849400041,8.31566237131115,23.2001038829714,592.788563607051
LH205,40.71147629115,70.4757863490577,69.062506090091,12.2826498597877,12.5259176093372,18.0366815984668,18.3498546319403,0.684098608680284,0.685038032815859,73.2559079603795,11.8368955374126,7.49783714814202,-0.536121584699869,189.518848717328,191.428531609192,152.024105991078,151.797698263529,37.4048877745742,38.7723436025708,57.8067081855082,5.93760754894542,9.73324812049892,3.99939110082189,278.633736789002,58.9799271042782,68.9942476265964,69.8275539545156,9.20624056105693,5.05392392694969,0.00339313037861321,0.0503433401247272,0.995631263574738,14.2654892696344,23.5727391387459,14.7660548486591,3.7771289521028,13.5007471523398,14.4496744220484,26.6279140534245,91.6078536306867,76.4257364203664,7.42039496313839,165.899993509558,12.5641913353431,1.44697273737101,0.0225575672268321,14.1921958933802,5.06127856128387,30.2838527189014,7.09066295705914,23.0009119860505,611.635740695841
LH206,40.5725647270998,76.6795210223625,75.6403442715866,12.3569540770668,12.5092622371873,18.1116907756003,18.2693413541974,0.685078955189125,0.686581398723721,75.631571302307,11.6783510511841,7.82144916245169,-0.745847698301309,198.462462701233,198.547679901253,161.496507034468,159.752341827703,36.8406209303912,38.2782047329616,57.5501841174249,5.9185221187093,9.72516507311502,3.84101170884785,265.368151388258,60.963468816397,70.1513641468729,72.273016243996,11.4493896045709,-3.69969790462087,0.00148252724649741,0.0552195576097218,1.01286340213925,15.2237725016967,24.1446438503873,14.6624420148234,3.7592685776232,13.4595714179253,14.2137177188865,26.1880580189293,92.1596578695268,76.1816483895422,8.06596504516771,173.266898802588,12.4909346636843,1.49124934103427,0.0238685323942442,14.1846720014999,6.83258288817368,30.6641762879249,6.98772823463174,23.7644759594866,606.688443322209
LH208,40.5228496557079,75.7185598236976,75.631629703449,13.0468126245301,13.2400180706837,18.8924757123455,18.9019970432632,0.694442221466945,0.698032827178798,74.7744297563048,12.2233639072247,7.67502864411821,-0.978947984814575,188.181801278132,184.893451786039,153.707399221454,150.849290804804,35.2531236884601,35.0594919477093,57.8080178006575,5.92863768831736,9.72015762260042,3.95683315017091,274.907635489111,59.6230881918629,69.8303442917477,71.424414697138,1.62940344076409,0.804194322323085,0.00897947936388641,0.0636424189372873,1.00843957617085,15.0882378679155,23.4143569539639,13.5600328170214,3.82926811034946,12.5583991529645,14.2957954431698,25.7325078647986,92.416207120618,75.4844687840605,7.72852827254541,161.784719005301,12.909320632524,1.45959671848658,0.018407070079002,14.4437772436414,5.94481544877985,30.2208267353196,7.46630936868069,22.2431773057246,559.694656696838
LH210,40.8345680066952,89.4475310103172,89.6741972289158,13.2104654335133,13.1927335827299,18.327447740518,18.1759748989846,0.720937469126586,0.723885566883828,71.0841987349831,11.7334687603065,8.20496976579598,-1.21980854525927,203.621336481834,202.175060532631,165.751857936187,162.066020640544,38.039465963089,39.859677568117,56.6911343303514,5.90137382850269,9.59111709588692,3.85088030328709,272.935048535515,65.4131942091883,73.8747563400471,74.9500226492523,33.4735014999122,10.3626992554048,-0.010121161571643,0.0751770761161814,1.00721384928654,11.587669940021,24.6349232797137,14.7121759280219,3.57879043155901,13.9127744025047,12.5791888418756,26.3229028105393,93.7662863014437,73.2581164953166,8.4100313977148,175.865255831306,12.5917150654283,1.61086447968788,0.0187884204329604,14.3711920302891,9.06695320278622,34.1441960276631,8.29472152848236,25.8461091068613,554.057064323661
LH211,41.3236374145687,90.7553493755505,94.6831026216816,13.7236151565557,13.5892900534921,18.4822592036573,18.7250670151484,0.724654869431411,0.723545818089524,78.0261103587844,11.9283542204293,8.05312094101727,-1.59884016877593,209.980364685436,211.760695646497,168.51934767147,171.787675099849,40.8140703581338,40.157233767231,56.5751369751568,6.04554487694271,9.46505124852564,3.94603130910504,274.980741056964,65.7928463087357,73.9100231250055,76.3602110421866,23.2131882279055,1.22115963744186,-0.0109768835977742,0.0751405891027865,1.00724564765918,13.6417940013984,25.7611258222135,14.1009096389632,3.81257012171723,13.2301472589613,12.9439779909978,25.9511173351486,93.0006939319789,76.3525987459128,8.47140851313073,178.431227129161,12.6507999474646,1.43746439878177,0.0127521026639685,14.2410523144547,6.35173494378309,33.1396359445247,6.84231686821917,26.2264972927763,597.299269761971
LH212Ht,40.7712034900953,81.3837253644972,86.7513290659598,12.557963776476,12.6639802256498,18.1896470142126,17.9193335532887,0.690123695801411,0.701231632194639,77.5200021399176,11.2721946178182,8.1548058317678,-1.3461970486321,208.39118619237,213.931105536568,169.632474307908,173.100520530899,39.0148620932079,40.6809111283695,57.8286664377429,6.00134146485421,9.60778046187174,3.97211727488005,311.811085192409,63.0508537301653,73.0819877148404,73.3457355110589,17.3893291592147,1.68281404314657,0.028621312836551,0.0679993710297825,1.02082603647538,15.5968414311488,25.7067407156851,13.7972588604389,3.89064707491038,12.9627542352191,13.6448547286927,26.4492115711313,94.1771596757803,78.1274676203349,8.25011641532981,180.396818691157,12.3018224398957,1.45875400536999,0.0160677411934567,13.8932728355812,4.1780939358893,31.1340995203768,5.59033487286968,24.7417969725632,613.341967119996
LH213,41.140191181132,92.2892957901063,94.2156842720509,13.1442544827589,13.3512951031205,18.9086166017775,19.2539685217024,0.700251911878139,0.69690747095047,78.8943572733506,11.6546619536272,8.40951821558358,-1.48985545095897,221.750152154902,228.091216986702,181.334363852459,186.291407717616,40.1163620722993,41.6889939473007,56.368857213956,5.98448277586572,9.42435164278167,3.65232856070852,303.769904125037,66.2730648567204,75.9174613592645,78.2108703253415,16.5476161322103,11.1546883222199,0.00131979877636983,0.120603490726971,1.01762514763396,15.6725040942508,25.8217416020957,15.1761826971784,3.71712602225545,14.0656146635647,12.6598996521534,27.3349455719445,92.7616499383829,77.4725996811001,8.71676044652505,183.052268161794,13.016720906436,1.52689296542514,0.0113341372482819,14.1484273650135,2.95182542422505,32.4039679122453,4.94766002525007,27.255966953656,618.748345612607
LH214,41.5190249036331,87.2787072063692,86.5854168742387,13.038048746478,12.8356041514244,18.837611641927,18.5671625847282,0.702072610832801,0.695897887916121,79.1859017428333,11.5269998125149,8.09979908470937,-1.47921840262431,218.903123454319,216.398161864792,178.430480436141,176.923262458058,40.1440839772374,39.8052527313507,56.1827262417824,6.0425078768136,9.39665076149904,3.99210713852341,310.51142055445,65.1246795529628,74.3926010861325,77.7277301540404,21.579462890685,6.47406224498626,-0.00255818131925536,0.0751229716629825,1.0072514525138,14.6917706282562,25.3773469614575,15.2110002055993,3.78751972488918,14.3164535554888,13.3095518299997,28.9334082667779,93.6600949077375,76.5512025067861,8.40160334900483,185.250763772759,12.8034064821601,1.56052140310043,0.0131998519343387,14.4759779279238,5.92376113289228,33.3714868822239,6.34952698505778,27.0158535424951,639.827984929969
LH215,40.724476664764,82.1419185283637,79.9654926573241,12.1154947608208,12.0514265480186,17.979185981319,17.6141019220514,0.692306303219272,0.691747943530096,73.9898102726903,11.0371468350503,8.17003976203956,-1.02500667072341,207.63053259682,205.223607820748,171.396377893825,166.669698573621,36.0159238150727,38.2882082875615,57.9015654251184,5.98606176614566,9.72045974495022,3.96325057835471,243.71006318487,62.7390439048942,72.6060961546789,77.0169345911791,29.0189242785661,3.92904641457997,-0.0159256932131854,0.0748877721415403,0.988887041120191,13.7066209908479,26.4988160481835,14.3723039065019,3.38016011248063,11.7658563172874,11.234176064625,22.4652025753616,83.6855809962792,76.8833449126968,8.80472634852319,178.303436654117,12.6004799750833,1.39119540069695,0.00737299576791854,14.4390610293354,8.74859038058677,34.4231826573132,9.32032080902652,25.4459709369083,453.015519806549
