GenotypeID,DaysToPollen_NEmean,DaysToSilk_NEmean,RootLodgingPct_NEmean,StalkLodgingPct_NEmean,LeafAngle_NEmean,PoorGerm_NEmean,PotentialPollenContamination_NEmean,EarsPerPlant_NEmean,CobWeightGrams_NEmean,HundredKernelMassGrams_NEmean,GrainPercentMoisture_NEmean,EarLengthCM_NEmean,EarWidthCM_NEmean,EarFilledLengthCM_NEmean,KernelRowNumber_NEmean,KernelsPerRow_NEmean,PercentFill_NEmean,SouthernRustSeverityScore_NEmean,LeafAreaIndex_NEmean,LeafLengthCM_NEmean,LeafWidthCM_NEmean,PlantHeightCM_NEmean,NodesWithBraceRoots_NEmean,TillersPerPlant_NEmean,BranchesPerTassel_NEmean,TasselLengthCM_NEmean,BranchZoneLengthCM_NEmean,TasselSpikeLengthCM_NEmean,TotalGrainMassGrams_NEmean,LeafNumber_NEmean
ND246,61,63,50,0,NA,0,0,1,10.42,17.005,NA,12.335,3.085,11.67,11.75,25.33,94.7,NA,3.995,60.25,6.85,160.75,0.835,0,11.67,30.62,10.8,19.82,341.4,11.1675
ND247,66,68,0,100,NA,0,0,1,14.82,20.66,NA,13.58,3.5,10.5,13,17.33,77.3,NA,2.77,61,5.8,104.5,1,0,17,33.83,12.67,21.17,156.2,12.085
ND251,62,63,100,0,NA,0,0,1,5.77,12.61,8.2,12,2.83,11.42,15.17,23.83,95.2,NA,3,53.5,8.25,103.5,1,0,9.67,24.97,8.37,16.6,329.1,11.5
ND259,65,67.5,50,30,NA,0,0,1.0625,12.29,22.715,8.35,13,3.75,12.915,13,26.335,99.35,NA,2.835,74,8.525,152.75,0.33,0,6.67,32.22,7.5,24.715,513.4,10.6675
ND260,64,63,0,100,NA,0,0,1,6.85,20.27,NA,11.42,3.08,11.17,10.67,23.5,97.8,NA,2.59,70,5.75,135,0.33,0,3.67,33.1,4,29.1,340.3,9.165
ND262,61.5,60,0,0,NA,0,0,1,13.235,24.23,NA,10.665,3.25,10.25,14.165,20,96.1,NA,3.34,56.25,7.2,109.5,1,0,13.33,30.8,10.115,20.685,431.05,10.8325
ND265,66,66.5,0,100,NA,0,0,1.25,10.11,24.625,NA,14.415,3.455,13.205,12.085,21.085,91.9,4,3.285,62.375,7.5,157.75,0.5,0,12.165,29.935,9.32,20.615,449.7,11.625
ND283,66,67,0,97.5,NA,0,0,1,8.225,23.385,NA,10.33,3.25,8.67,11.585,14.75,83.7,NA,2.47,53.375,7.05,152.5,0.665,0,16.335,24.7,10.85,13.85,218.5,12.9175
ND287,63.5,65,50,2.5,NA,0,0,1.1875,11.33,17.745,NA,11.33,3.71,8.79,14.42,12.375,77.8,NA,2.925,65.3,7.625,132.25,1.165,0,12.335,28.085,9.6,18.485,265.95,11.3325
NK740,73,77,50,0,35.95,0,0,1,10.545,27.03,9.55,16.165,3.46,15.375,10.165,31.335,95.2,1.5,3.555,73.5,8.325,182.75,1.835,0,5.835,36.3,8.015,28.285,563.55,13
NK794,68,68.5,0,0,30.5,0,0,1,15.505,23.665,9.15,13.29,3.5,12.42,13,29,93.4,2.75,3.935,79.75,8.425,160,1.165,0,7.665,27.665,6.585,21.085,599.45,13.3325
NK807,66,67,0,0,44.7,0,0,1,12.585,29.77,8,11.375,3.96,9.625,13,15.25,84.55,3.25,3.05,68.125,7.9,180,1.835,0,4.665,21.035,3.665,17.37,479.1,12.4175
NK907,63.5,64.5,0,0,63.4,0,0.5,1,19.045,27.21,NA,12.415,3.5,11.835,12.25,19.5,95.35,2.5,3.14,69.625,7.05,145,1,0,2.67,32.415,4.365,28.05,448.15,11.375
NKBCC03,74,78,55,0,36.3,0,1,1.0625,17.88,23.15,8.35,15.96,3.79,15.75,13.415,29.915,98.7,0.5,3.3,81.625,8.4,174,1.335,0,9.5,37.75,8.3,29.45,630.2,12.375
NKH8431,71,71,50,0,31.1,0,0,1,15.715,23.935,8.5,15,4.25,13.665,13.67,31.75,91.1,1.5,3.7,75.875,8.7,172.75,1.5,0,6.665,26.75,7.15,19.6,768.7,12.8325
NKNP901,71,74,0,15,24,0,0,1,19.675,27.785,8.55,14.96,4.455,13.75,14.835,25.835,91.9,2.25,3.995,78.75,8.25,191.5,1.335,0,10,35.55,11.25,24.3,741.6,12.9175
NO._380,61.5,63,0,60,NA,0,0.5,1,10.01,17.545,NA,13.565,3.19,13.17,11.79,27.25,97.1,NA,2.16,74,7.45,140,0.835,0,10.17,30.985,11.615,19.37,314.9,11.415
NORTH_7,69,71.5,90,0,NA,0,0,1,14.815,17.91,NA,14.75,3.835,13.205,15.665,29.915,88.95,0,3.09,76.125,8.25,163.25,1.33,0,11.17,28.5,6.485,22.015,553.2,12.25
NP87,76,80,50,20,NA,0,0,1.625,9.23,14.965,NA,14.46,2.875,12.545,12.75,27.75,87,0.5,3.595,75.5,8.6,176.5,1.165,0,27.165,31.96,14.71,17.25,530.4,16.75
NP899,71,76,0,0,24.05,0,0,1,10.89,20.71,7.85,15.355,3.25,13.98,13.415,26.415,91.05,2.25,3.475,75.375,9.4,192.75,0.665,0,14.335,35.52,12.65,22.865,611.45,12.2925
NQ402,68,72,0,0,41.7,0,0,1,17.785,25.7,9.2,14.375,4.085,13.5,12.5,26.665,93.95,NA,3.41,74.625,7.725,193,1.5,0.5,6.17,37.52,11,26.515,700.7,13.4175
NQ508,72,75,0,0,33.9,0,0,1,11.83,34.82,8.6,10.125,3.875,8.5,12.33,16.915,82.9,2.25,3.885,65.5,7.825,164.5,1.67,0,5.335,29.285,6.765,22.515,418.75,12.4175
NS501,69,70.5,10,15,NA,0,0.5,1,8.585,23.585,8.6,13.375,3.875,11.705,12.5,26.665,87.5,2.25,3.9,73.875,6.625,174,1.335,0,13.5,26.7,10.585,16.12,511.2,13.5825
NS701,74,75,12.5,5,31.7,0,0,1,13.885,25.98,8.5,15.375,3.955,14.67,13.17,30.75,95.4,0.5,4.645,80.625,7.175,202,1.165,0,6.5,29.23,9.265,19.965,742.15,14.4175
NY_159_(Neveh_Yaar),74.5,77.5,100,0,27.8,0,1,1.0625,13.445,23.665,NA,13.5,3.46,12.295,13.75,23.25,91.3,1,NA,69.5,8.6,179,3,0,17.5,33.865,13.265,20.6,491.35,13.71
NY_166_(Neveh_Yaar),71,77,10,0,29.1,0,0,1,17.3,25.32,NA,14,3.83,10.83,12.67,20.83,77.4,2,2.6,72.25,8.8,188.5,2,0,20.67,36.47,13.47,23,498.8,11.25
NY6371,77,81,75,10,47.4,0,0,1,15.995,26.065,8.1,13.665,4.165,12.875,14.42,19.335,94.25,1.5,3.985,86.875,7.75,191,0.165,0,12,34.165,11.33,22.835,486.7,13
OC19,73,73,50,50,NA,0,0,0.875,3.84,13.85,NA,8.545,2.71,8.21,12.835,18.17,96,NA,2.13,62,7.725,136.5,0,0,5,26.6,6.065,20.535,186.35,11.9175
Oh33,76.5,81,100,0,NA,0,0,1,11.115,23.225,NA,12.41,3.265,12.24,12.7,23.615,98.55,3,3.29,87,7.55,197,1,0.165,12,37.67,15.065,22.6,353.95,14.5425
Oh40B,74.5,79,50,50,NA,0,0,1.0625,16.335,22.32,NA,17.46,3.54,15.83,11.5,30,90.45,NA,NA,79.875,8.625,NA,1,0,7.665,36.415,8.65,27.77,536.15,12.0825
Oh43,70,72,0,2.5,NA,0,0,1.0625,15.33,20.07,8.4,16.17,3.875,15.205,15.335,30.415,93.9,1.25,2.7,75.875,9.075,179.75,1.665,0,5.665,34.05,8.02,26.03,747.1,12.375
Oh43E,70,73,20,5,31.3,0,0,1,9.21,26.73,8.4,12.125,4.165,11.875,13.25,23.42,98.05,1.25,3.625,77.625,8.1,156,1.835,0,6.33,30.6,7.55,23.05,485.45,12.9175
Oh603,76,78,90,0,28.75,0,0.5,1,16.225,27.79,NA,15.125,3.65,13.75,11.33,22.795,91.1,0.5,NA,83.125,9.175,205.25,1,0.335,14,37.1,12.63,24.47,530.35,15.625
Oh7,77,81,100,0,19.45,0,0,1,13.02,23.515,NA,14.75,3.165,13.46,14,24.25,91.45,0.5,NA,82.25,6.825,219.25,1.835,0,14.835,33.865,12.5,21.365,479.15,14.5425
Oh7B,79,84,90,0,20.45,0,0,1,11.98,21.245,NA,14.96,3.17,14.29,13.92,25.75,95.6,1,3.575,89.5,8.175,191.25,0.665,0,8.5,36.985,9.38,27.6,493.25,13.2075
OQ101,64.5,65,0,5,NA,0,0,1,8.29,19.97,NA,12.92,3.21,12.415,9.835,26.75,96.05,NA,2.285,67.125,7.35,130.75,0.165,0,19.335,25.885,11.3,14.585,387,11.8325
OQ403,65.5,66,20,0,NA,0,0,1,8.21,22.59,NA,12.04,3.295,10.71,13.165,22.67,88.95,2,3.34,66.375,6.9,164.75,1,0,3.67,27.75,4.885,22.865,468.35,11.915
OQ601,70.5,74,0,0,47.15,0,0,1,11.455,25.14,9.5,12.335,4,11.875,13.75,22.585,96.3,3,3.605,78,8.075,186.5,2.165,0,7.665,35.885,10.385,25.5,597.35,12.2925
OQ603,68,70,0,0,34.55,0,0,1,14.63,26.955,7.95,11.665,3.875,11.25,12,21.5,96.45,1.75,3.5,72,6.8,170.25,1.335,0,7.165,27.75,7.815,19.935,527.95,13.165
Os420,68,76,0,100,NA,0,1,1,17.44,23.43,9.3,14.17,4.17,13.42,14.5,25.67,94.7,1.5,NA,85.75,8.65,185,1.67,0,10,34.7,8.9,25.8,503.4,12.585
OS602,68,68.5,0,0,51,0,0,1,11.345,26.475,8.4,13.25,3.375,11.875,12.335,21.415,89.4,3.25,3.445,81,7.575,170,0.835,0,6.165,30.35,6.65,23.7,530.4,12.75
P39,68,72,0,90,NA,0,0,1,12.695,17.28,NA,14.42,3.545,12,12.585,23.165,82.75,NA,2.985,82.25,7,151.25,1,0,22.085,32.56,15.35,17.21,394.1,13.0425
Pa392,67.5,71,45,5,48.65,0,0,1,13.49,19.66,8.45,13.625,3.585,12.67,13.67,30.165,93,2,4.38,88.125,8.475,163.25,1.5,0,9.83,32.185,10.115,22.065,505.4,12.625
Pa405,69.5,72.5,10,0,NA,0.5,0,1,9.785,17.07,NA,12.915,3.46,12.29,13.75,30.42,95.2,1.75,3.46,75.8,7.25,174.5,1,0,14.5,26.365,9.565,16.8,441,13.4575
Pa468,70,76.5,100,0,NA,0,0,1,11.79,23.815,NA,11.79,3.75,11.21,11.665,19.33,95.4,NA,NA,78.375,8.025,NA,0.665,0,14.5,32.15,12.97,19.18,357.2,12.835
Pa762,74,75.5,30,30,30.55,0,0,1,17.405,23.015,NA,14.955,3.75,13.5,14.42,27.665,90.2,0.75,3.77,67.25,9.45,170.5,2,0,6.5,28.415,6.1,22.32,604.7,13.875
Pa880,77.5,80,0,2.5,27.3,0,0,1,21.165,24.645,NA,11.75,4.29,9.835,15.085,14.5,83.45,1.25,3.815,89.5,8.775,186.75,3.67,0,20.17,32.05,18.265,13.78,353.05,15.5
Pa891,78,82,100,27.5,33.65,0,0,1,17.58,21.27,8.1,15.085,3.875,14,13,28.835,92.75,2.5,3.96,92.25,8.9,210.5,0.665,0,12.835,34.865,12.17,22.7,511.6,14.1675
Pa91,76,81,0,3.5,34.95,0,0.5,1,15.615,23.445,NA,14.67,3.75,14.25,14.585,24.665,97.15,2.25,4.01,100.125,8.925,202,1.335,0,11.165,38.15,12.38,25.765,556.45,13.2925
PH207,66,71,0,0,39.35,0,0,1,15.45,24.595,8.05,13.875,4.08,12.165,13.415,25.085,87.95,3,3.69,78.25,8.125,164,1,0,15.165,33.985,13.9,20.085,586.6,12.25
PH5HK,71,72,0,0,29.4,0,0.5,1,15.925,23.685,7.7,14.25,4.25,13.455,15.915,28.415,94.45,2,2.485,75.375,7.95,183.75,1.335,0,13.33,39.18,13.715,25.465,820.3,12.625
PHAA0,64.5,65.5,0,0.5,26.65,0,0,1,12.77,30.535,8.05,13.42,4,13.04,12.335,26.33,97.15,3.5,3.105,68.625,8.075,160,1.835,0,2.17,30.8,2.435,28.37,716.7,12.375
PHAW6,73,74,5,0.5,34.55,0,0,1,10.665,22.305,8.2,13.54,3.625,13.375,15.335,27.42,98.8,2,3.88,77.275,8.35,161,1.67,0,9.67,36.75,10.065,26.68,681.05,12.375
PHB09,71.5,73.5,0,0,46.6,0,0,1,10.705,32.01,NA,10.875,3.955,10.25,12.585,18.335,94.2,1.25,3.925,63.125,8.95,154.5,0.835,0,4.835,34.935,8.215,26.72,464.15,12.96
PHB47,73,74,50,2.5,30.05,0,0,1,16.605,26.565,7.95,15.71,4.045,15.17,12.335,32.835,96.6,2.25,3.955,76.375,9.6,201.5,2,0.165,5.5,29.53,7.165,22.365,701.15,14.75
PHBA6,71,73,0,0,NA,0,0.5,1.0625,14.895,19.435,7.75,14.125,3.665,14.085,16.415,30.25,99.75,3,2.84,80.5,8.1,203.75,1.165,0,14,40.085,13.17,26.915,716.65,13.9575
PHBB3,73.5,78,0,0,13.7,0,0,1.125,11.435,16.42,8.3,16.58,3.54,14.75,14.5,33.08,88.95,4,3.425,83.5,9.95,184,2.665,0,3.5,29.77,5.45,24.315,559.25,13.5
PHBW8,73,73,50,0,37.45,0,0,1,22.025,30.665,8.2,18.71,3.83,17.665,12.67,32.08,94.4,2,3.53,76.75,7.85,184,1.165,0,9.665,34.1,9.3,24.8,907.7,14.2075
PHEG9,75.5,76.5,0,0,20.85,0,0,1,11.735,20.815,7.8,15.875,3.79,14.295,14.585,28.585,90.05,2.75,3.23,76.375,8.2,174.5,1.665,0,4.835,37.515,9.3,28.215,588.85,15.2075
PHEM7,61,62,100,0,NA,0,0,1,7.18,22.15,7.2,11.83,3.83,11.08,12.83,21.67,93.7,NA,2.91,68.5,5.85,188,0.67,0,9,35.07,9.9,25.17,382.6,11.335
PHEM9,66,66.5,25,0,33.9,0,1,1,13.73,26.525,8,15.045,4,14.915,12.415,27,99.15,2,3.57,74.5,9.025,166,1.5,0,4.67,32.03,7.815,24.215,614.1,12.375
PHEW7,72.5,72.5,0,0,32.5,0,0,1,14.28,28.835,8.15,14.08,4.04,13.875,14.835,24.17,98.55,2.5,3.735,88,9,183.25,1.165,0,3.165,34.315,5.435,28.88,647.3,13.79
PHFA5,62.5,63.5,0,6.5,NA,0,0,1,11.91,25.745,8.3,12.375,3.875,11.875,14,21.415,95.95,2.75,2.41,67.5,8.1,180.25,1.165,0,5.165,28.55,7.05,21.5,582.65,12.625
PHG29,68,72.5,0,2.5,47,0,0,0.9375,14.315,22.795,8.3,15.125,4.165,13.625,14.5,25.17,90.15,2.75,3.655,79.375,8.7,161.5,0.665,0,21.83,36.085,13.95,22.135,651.2,12.5
PHG35,70.5,73,0,0,NA,0,0,1,19.875,18.895,NA,14.335,4.085,13.71,13.415,28.585,95.6,1.75,3.545,73.5,9.375,152.75,1,0,4.665,38.815,8.45,30.365,504.3,11.25
PHG39,76,76.5,40,1,19.95,0,0,1.0625,12.445,23.875,8.15,15.915,3.585,13.415,13.835,20.915,84.4,2.25,4.255,77.875,8.35,195.5,0.835,0,4.67,34.065,8.665,25.4,508.2,14.415
PHG47,68.5,71.5,0,0,23,0,0,1,9.415,25.65,NA,12,3.58,11.46,15.585,21.415,95.6,3,2.97,66.25,8.175,152,2.165,0,8.165,33.35,7.35,26,572.9,12.665
PHG50,68.5,70,2.5,0,25.65,0,0.5,1,19.965,26.48,7.5,17.165,4,16,13.665,30.25,93.25,3.5,2.945,75.75,8.775,149.75,1.5,0,7.415,33.44,7.775,25.665,726.5,12.25
PHG71,70,72,0,0,47.2,0,0,1,11.84,24.805,7.45,16.08,3.545,14.625,12.335,28.335,91.1,3.5,4.145,78.25,7.9,178.25,1.165,0,7.665,28.35,6.58,21.77,547.6,13.375
PHG80,71,72,0,2.5,27.95,0,0,1,17.18,28.84,8.25,13.71,3.96,13.295,13.665,23.165,97,2,3.895,70.625,9.4,160.75,1.165,0,3.165,25.56,3.685,21.875,593.65,12.25
PHG83,71,74,0,25,23.1,0,0,1,13.02,25.54,8.05,15.92,4.21,15.165,13.17,27.92,95.25,2.5,NA,73.25,8.05,167.25,1.835,0,10.25,38.425,12.885,25.54,613.55,12.25
PHG84,78.5,83,0,0,29.9,0,0,1,17.69,22.535,NA,12.375,3.54,10.33,12.83,19.25,83.5,0.75,3.315,79.125,8.55,171.5,1.335,0,9.335,37.6,9.25,28.35,276.1,13.2925
PHG86,75.5,77.5,0,0,NA,0,0,1,15.91,18.215,NA,15.705,3.625,12.835,15.335,27.585,81.6,1.5,2.665,86.5,7.275,193.25,1,0,2.665,33.385,3.315,30.07,530.5,14.5425
PHGG7,64,65,0,97.5,NA,0,0,1,9.3,21.27,7.9,10.915,3.54,10.25,13,17.415,93.9,NA,3.02,75.125,6.35,200.25,1.165,0,12.67,34.6,13.285,21.32,384.15,12.625
PHGV6,82,83,0,15,23.05,0,0,1.0625,12.28,18.68,8.65,15.46,3.915,14.835,12.67,36.5,95.85,1.25,3.62,83.375,9.55,212.75,1.665,0,6.165,31.915,7.585,24.33,635.9,14.7075
PHH93,67,71,0,0,18.55,0,0.5,1.0625,13.105,25.855,8.6,13.335,3.5,12.875,14.085,25.92,96.3,2.25,3.49,81.875,7.05,170,1.165,0,11.33,30.065,11.47,18.6,641.75,12.5
PHHB4,74.5,76,0,3.5,35.25,0,0,1,18.81,27.805,7.9,16.58,4.21,14.625,14.75,27.085,88.2,3,2.895,72.25,7.925,202.25,1.165,0,1.165,36.65,1.6,35.05,711.75,14.875
PHHB9,76,75.5,0,0,23,0,0,1,17.835,22.63,7.7,15.955,4.125,15,15.5,30.5,94.15,3.25,3.635,79.875,7.4,169.25,1.33,0,3,33.92,6.835,27.085,792.8,13.5425
PHHH9,76.5,79,0,1,16.2,0,0,1,17.21,30.42,8.25,13.085,4.295,11.915,15.75,22.915,91,1.75,3.435,78.625,8.575,199.5,1.5,0,6.665,35.435,7.785,27.65,740.95,15.2075
PHJ31,82,87.5,0,2.5,28.9,0,0,1,20.155,37.42,NA,13.75,3.92,10.415,8.83,10,75.2,3.25,4.43,88.125,10.475,188.75,1.335,0,6.33,32.67,7.565,25.1,218.25,14.0425
PHJ33,71,72.5,0,15,21.5,0,0,1.0625,23.765,21.825,9.35,16.125,4.455,14.125,12.92,28.67,87.6,3,2.94,67.25,8.525,171.25,0.835,0,13.335,30.45,9.68,20.765,712.4,13.2925
PHJ40,64,63.5,0,0,52.9,0,0,1,18.59,28.145,8.15,13.295,4.085,13,12,24.5,97.75,2,3.54,71.25,8.15,155.5,1,0.165,3.83,31.115,5.02,26.1,600,12.5425
PHJ65,80.5,86,100,15,21.6,0,0,1,9.635,27.505,NA,11.75,4.165,9.955,14,21.08,84.7,1.75,4.51,95.375,8.925,217.75,1.165,0,19.165,31.45,10.5,20.95,518.7,17.625
PHJ70,76,75.5,50,1,20.1,0,0,1,23.82,20.995,8.4,13.25,4.375,12.915,20.67,26.585,97.45,1.75,2.71,70,8.275,188.75,1.665,0,7.165,27.75,6.565,21.185,783.2,14.25
PHJ75,63.5,65,0,0,NA,0,0,1,12.855,26.685,8.15,10.96,3.54,10.665,12.5,22.75,97.35,3.25,2.325,65.125,8.175,169.75,1.665,0,7,27.28,9.6,17.685,500.3,11.665
PHJ89,68.5,69.5,0,0.5,32.45,0,0,1,10.445,30.31,8.05,12.5,3.75,12.125,13.165,24.915,96.9,2,3.795,68.5,8.5,178,1.83,0,3.5,31.88,5.15,26.735,595.95,13.0825
PHJ90,67.5,71.5,0,0,30.9,0,0,1,9.795,19.525,8.05,13.625,4.085,12.79,15.665,24.835,93.75,2.5,4.025,74.625,8.45,155,0.665,0,8.67,31.565,7.985,23.585,606.8,12.375
PHJR5,71,72,80,0,38.3,0,0,1,20.38,24.015,8.15,14.455,3.915,13.92,16.165,28.585,96.25,2.5,4.675,77.625,9.3,205.25,1.5,0,4.33,39.05,10.665,28.385,793.55,13.625
PHK05,58.5,59.5,0,27.5,NA,0,0,1.1875,12.015,21.4,NA,13.46,3.665,12.205,12.415,25,90.55,NA,3.025,62,7.7,176.5,1.33,0,11.165,31.035,8.765,22.27,444.95,12.2925
PHK29,76,76.5,0,0,29.4,0,0,1,16.135,26.86,8.2,15.29,3.67,14.665,13.5,31.415,95.9,2.75,3.845,87.6,8.9,181,1,0,7.835,32.58,10.1,22.485,721.6,13.96
PHK35,73.5,77.5,0,0,21.35,0,0,1,10.81,21.08,8.25,13.375,3.92,12.5,15.5,28.915,93.45,1,2.615,74,7.975,196.75,1.165,0,4,33.215,7.165,26.05,604.2,13.29
PHK42,68.5,72.5,1,0,NA,0,0,1,7.68,22.29,8.85,14.71,4.085,13.435,13.835,27.875,91.2,3.5,2.88,76.5,7.925,163.5,1.165,0,13.835,32.335,11.65,20.685,751.5,11.915
PHK46,76.5,83,0,0,19.95,0,0,1.25,13.775,21.41,NA,12.17,3.625,11.21,15.25,20.75,92.1,1.5,2.94,92.125,7.425,197.5,1.165,0,4.335,33.63,7.8,25.835,500.9,14.46
PHK56,71.5,75.5,0,0,33.55,0,0,1,15.045,30.045,8.4,14.75,4.29,13.92,14.665,26.085,94.3,1.5,4.255,70.625,9.575,178.5,0.835,0,4,37.085,7.1,29.98,776.85,12.625
PHK74,64.5,65.5,0,0,NA,0,0,1,14.19,25.22,7.15,12.58,3.795,12.17,13.92,25.415,96.75,3,3.73,62.625,8.125,165,0.835,0,8.5,26.335,7.7,18.63,599.85,11.915
PHK76,70,70.5,95,0,26.45,0,0,1,14.78,20.59,8.1,14.25,3.665,13.205,12.915,28.67,92.7,3,3.12,69.625,9.05,178.25,1.335,0,5.33,32.78,10.635,22.15,614.6,12.79
PHK93,80.5,84,0,0,31.95,0,0,1,16.75,29.62,NA,13.375,3.96,11.795,12.915,22.5,88.1,2.75,4.66,77.5,8.95,164.25,1.835,0,7.165,28.435,5.935,22.5,518.85,14.165
PHKE6,67,68.5,10,2.5,35.2,0,0,1,9.52,28.67,8.65,11.415,4.04,10.96,15.585,19.67,95.9,1.25,3.62,74.5,9.575,165.75,1,0,16.835,27.65,9.965,17.68,669.2,11.75
PHKM5,62.5,63,2.5,0.5,NA,0,0.5,1.1875,5.48,22.135,NA,10.585,3.29,10.46,12.75,21.335,98.85,NA,3.16,67.75,6.6,156.5,1.5,0,7.085,24.75,7.24,17.51,460.85,12.2925
PHM10,71,73,0,2,44.3,0,0,1,14.77,20.14,8.6,16.75,4,13.92,13.67,24.83,83.1,2,4.18,76.5,8.05,182,1,0,8.33,32.17,9.93,22.23,524,12.665
PHM57,80,80.5,0,0,23.5,0,0,1,17.89,21.385,8.45,15.46,3.915,14.54,13.75,27.75,93.95,2.25,3.975,80.875,9.6,180.75,0.335,0,7.33,34.785,8.53,26.25,540.45,15.0825
PHM81,61,60.5,0,0,NA,0,0,1,11.955,19.095,8.25,13.375,3.75,12.585,14,28.5,94.25,NA,2.94,61.5,8.875,130.25,0.835,0,9.67,22.55,6.13,16.42,504.3,9.71
PHMK0,81,85.5,0,0,18.1,0,0,1,10.51,20.44,9.1,14.04,3.415,13.335,13.585,25.75,94.95,2.75,4.1,81,8.95,208.5,1.335,0,9.165,34.915,9.1,25.815,542.6,16.0425
PHN11,66.5,67.5,0,0,33.8,0,0,1,20.335,17.52,8.5,14.21,4.375,13.875,15,27.665,97.6,1.75,2.56,76.875,7.925,150,1.5,0,15.835,29.815,12.5,17.32,742.75,12
PHN18,75,76.5,0,12.5,13.65,0,0,1,15.44,19.66,7.7,13.54,4.045,13.04,16.25,25.165,96.3,1.75,3.625,74.875,9.075,176.75,1,0,5.335,28.985,16.615,12.365,582.1,13.625
PHN34,77,76,0,0,34.3,0,0,1,16.99,20.08,8.4,14.25,3.335,13.46,12.585,27.58,94.45,0.25,3.385,82,7.775,188.25,2.835,0,20.17,37.08,12.7,24.385,497.25,13.96
PHN41,71,71,0,27.5,26.4,0,0,1,14.44,23.005,7.75,14.585,4.045,14.04,13.085,30,96.15,0,NA,72.25,7.45,156.25,1.335,0,4.835,24.9,5.285,19.615,654.85,14.1675
PHN46,76.5,76.5,10,0,24.05,0,0,1,14.66,24.19,8.95,13.29,4.295,11.835,13.33,23.335,89,1.5,3.655,63.875,9.275,177,1.665,0,5.67,34.365,9.4,24.965,501.75,12.5825
PHN47,83.5,88.5,90,0,25.7,0,0,1,8.365,31.28,NA,11.42,3.75,10.04,13,17.915,88,1.75,4.355,70.125,9.6,186.75,2.165,0,18.5,34.785,12.585,22.2,470.65,15.79
PHN66,75,76.5,0,30,35.5,0,0,1,10.685,23.325,8.35,12.54,3.92,12.165,12.67,25.17,97,2.5,4.065,74.875,8.275,187,1.335,0,4.835,33.065,4.585,28.48,599.9,15.25
PHN73,71,72,0,0.5,37.4,0,0,1,17.345,32.39,8.35,13.96,3.79,12.625,13.335,19.835,90.45,2.75,3.905,71.75,8.775,182.25,1.33,0,3.835,35.03,6.435,28.6,546.05,12.6675
PHN82,71,77,0,1,33.9,0,0,1,17.5,26.075,8.6,12.99,4.31,11.45,15.365,23.715,88.15,2.75,4.23,76.425,9.125,NA,1.33,0,8,31.635,7.82,23.815,651.95,13.085
PHP02,66,68,0,0,36.7,0,0,1,15.625,27.34,8.85,14.335,3.835,12.665,14,22.835,88.4,2.5,3.76,76.75,8.8,157.75,0.835,0,15.835,29.965,12,17.97,694.8,12.25
PHP38,73,75.5,25,1,15.65,0,0,1,14.02,29.365,7.95,13.15,4.1,12.475,14.915,22,94.85,1.5,3.035,85.375,8.275,177.75,1.165,0,10,39.95,11.85,28.1,600.9,14.375
PHP55,69,72.5,2.5,0,34.25,0,0,1,19.52,26.435,8.3,16.75,3.955,14.835,14.5,29.25,88.45,2.25,4.545,76.875,8.725,175.75,1,0,14.335,30.685,9.8,20.885,838.9,13.125
PHP60,83.5,85,100,0,32.2,0,0,1.0625,12.2,21.645,NA,14.96,3.46,13.335,13.67,20.75,89.05,2.75,4.72,84.5,8.1,191,1.835,0,7.665,31.3,10.135,21.165,480.1,15.5825
PHP76,70.5,73,0,0,28.1,0,0,1,14.815,19.61,8.35,14.8,3.57,13.98,15.48,29.38,94.5,3.75,4.075,75.125,7.85,161.25,1.5,0,10.335,34.315,9.885,24.43,641.3,13.5
PHP85,74.3333333333333,76.6666666666667,33.3333333333333,0,29.4666666666667,0,0,0.958333333333333,13.7366666666667,28.86,NA,13.0866666666667,4,11.25,13.2766666666667,19.78,84.3333333333333,2.16666666666667,4.22,85,9.01666666666667,178.166666666667,1.11333333333333,0,6.33333333333333,35.8,9.27666666666667,26.5233333333333,568.533333333333,14.0266666666667
PHPR5,71,72,57.5,0,24.6,0,0,1,14.55,32.355,8.8,14.125,3.79,13.585,14.335,25.335,96.2,3,3.455,79.375,8.95,191,1.83,0,8,35.95,12.65,23.3,760.5,14.29
PHR03,78.5,81,50,0,28.6,0,0,1,16.405,20.645,8.1,16.92,4,14.375,15.25,30.5,84.9,2,3.115,76.625,9.1,190.75,0.5,0,12.5,32.035,9.25,22.785,551.8,14.1675
PHR25,63,64,0,0,NA,0,0,1,12.815,34.49,NA,8.335,4,8.165,16.5,14.5,97.95,3,NA,69.25,8.15,173.75,1,0,11,28.4,6.45,21.95,463.75,12.5825
PHR31,72,75.5,50,0,25.9,0,0,1,15.51,25.555,8.55,16.835,4.04,15.125,14.83,28.585,89.8,1.75,3.385,81.375,9,178,1.83,0,9.835,37.265,9.815,27.45,711.45,14.4175
PHR32,75,77.5,5,0.5,33.35,0,0,1,14.34,25.575,8.3,11.585,4.125,10.79,14,24.75,93.5,2.25,3.32,82,9.6,211.75,1.165,0,4.665,29.765,4.285,25.485,623.3,15.665
PHR36,75,76,0,0,NA,0,0,1,9.995,23.17,NA,12.125,3.455,11.42,12.335,20.25,94.2,1,3.415,67.625,8.825,173.5,0.835,0,16.67,28.75,9.185,19.57,376.4,13.7925
