GenotypeID,DaysToPollen_NEmean,DaysToSilk_NEmean,RootLodgingPct_NEmean,StalkLodgingPct_NEmean,LeafAngle_NEmean,PoorGerm_NEmean,PotentialPollenContamination_NEmean,EarsPerPlant_NEmean,CobWeightGrams_NEmean,HundredKernelMassGrams_NEmean,GrainPercentMoisture_NEmean,EarLengthCM_NEmean,EarWidthCM_NEmean,EarFilledLengthCM_NEmean,KernelRowNumber_NEmean,KernelsPerRow_NEmean,PercentFill_NEmean,SouthernRustSeverityScore_NEmean,LeafAreaIndex_NEmean,LeafLengthCM_NEmean,LeafWidthCM_NEmean,PlantHeightCM_NEmean,NodesWithBraceRoots_NEmean,TillersPerPlant_NEmean,BranchesPerTassel_NEmean,TasselLengthCM_NEmean,BranchZoneLengthCM_NEmean,TasselSpikeLengthCM_NEmean,TotalGrainMassGrams_NEmean,LeafNumber_NEmean
LH132,72,73.5,0,0,28.5,0,0,1,15.41,22.35,8.05,14.125,3.96,13.205,16,29,93.5,2.5,4.275,82.625,7.75,169.75,1.665,0,8.335,32.965,10.25,22.72,676.45,14.46
LH143_(Maintainer),70.5,73,47.5,5,NA,0,0,1,12.01,24.845,NA,14.46,3.46,13.455,12,22.67,93.1,2.5,3.29,76.875,5.8,183.5,1,0,11,30.385,7.865,22.52,425.85,14.29
LH145,66,67,0,0,NA,0,0.5,1,11.105,20.015,7.85,15.25,3.375,14.085,13.085,31.17,92.4,NA,3.085,68,7.175,148.25,1.165,0,6,28.565,4.83,23.735,508.7,12.8325
LH146Ht,67,70,0,0.5,30.05,0,0.5,1,18.255,25.33,7.7,13.51,3.61,9.655,12.78,20.835,71.5,1.75,3.19,84.5,7.475,182,1.165,0,6.835,32.32,6.865,25.45,496.25,13
LH149,67,68.5,0,0,NA,0,0.5,1,16.235,20.67,8.9,13.17,3.79,12.875,14,34,97.8,2.25,2.97,67.125,8.325,179,2.335,0,6,32.115,8.78,23.335,738.8,12.7925
LH150,80,82,40,10,34.7,0,0,1,15.91,25.505,8.5,13.54,4.29,12.42,18.25,22.42,91.65,1,4.205,78.5,7.925,204.5,1,0,6.33,29.15,5.87,23.285,635.1,16.335
LH156,79,79,25,25,27.85,0,0,1,9.865,27.715,NA,12.875,3.625,11.71,13.5,24,90.9,0.75,4.25,84.25,9.2,157.5,0.5,0,9.5,38.05,10.15,27.9,494.95,13.1675
LH159,83,85.5,50,0,25.3,0,0,1.0625,14.355,34.7,NA,8.335,3.705,6.875,9.665,7.335,82.3,2,3.325,90,9.325,227,2.17,0,5,34.22,8.365,25.85,97.5,16.25
LH160,63,65.5,27.5,0,50.95,0,0,1,20.48,25.3,NA,14.46,3.625,13.165,12.085,21.58,91,NA,3.82,65.875,7.4,168.75,1.165,0,9.835,34.915,12.065,22.85,375.1,12.3325
LH162,65,67,0,2.5,NA,0,0,1,10.47,20.465,7,14.79,3.875,14.29,12,30.915,96.55,NA,3.435,72.75,6.975,155.75,0.335,0,11.165,32.52,11.285,21.235,581.6,11
LH163,70,70.5,0,0,30.95,0,0,1,17.05,26.415,8.45,15.96,3.335,14.21,13.835,22.92,89.1,2.5,3.945,71.375,7.825,174.5,1.5,0,5.335,30.215,7.1,23.115,501.65,13
LH164,66.5,69,20,0,35.95,0,0,1.0625,8.06,26.845,8.9,14.46,4,13.46,13.665,23.5,92.95,2.25,3.315,66.875,8.5,147.25,1,0,10.665,28.17,6.65,21.515,523.85,12.29
LH165,69,69.5,0,0,37,0,0,1,11.825,21.33,8.7,14.795,3.205,13.955,14,29.17,94.3,2,3.285,63.5,8.65,130.5,1.165,0,6.67,27.635,6.135,21.5,596.25,11.4175
LH166,69.5,70,0,1,38.25,0,0,1,14.61,23.345,8.4,14,3.71,12.705,14.25,25.17,90.85,4,3.555,76.5,9.95,173.5,0.67,0,2.5,36,5.085,30.915,504.15,12.6675
LH167,68,68.5,60,0.5,NA,0,0,1.0625,9.35,27.02,7.85,14.705,3.46,13.375,10.75,25.415,91,2.75,3.385,71.375,9.3,160.25,0.67,0,4.665,34.15,6.75,27.4,649.75,11.5
LH169Ht,70,72.5,50,37.5,NA,0,0,1,8.7,18.64,NA,11.415,3.71,10.125,17,22,88.95,1,3.55,68.375,8.375,165.25,0.67,0,6.5,30.965,7.915,23.05,474.7,13
LH172,67,68.5,0,0,24.25,0,0,1,10.095,22.69,NA,11.85,4.135,10.11,14.315,19.45,85.7,1.25,3.28,67.375,9.15,135.5,1.5,0,4.165,26.58,6.135,20.45,484.75,12.3325
LH175,66.5,66.5,100,25,39,0,0,1,9.79,16.805,7.95,12.205,4.665,11.21,19.5,28.58,91.8,2.5,3.715,63.875,9.25,138.25,0.835,0,3.165,30.465,3.42,27.05,629.9,12.415
LH181,71.5,77,50,0,44.05,0,0,1,13.71,21.395,7.7,16.54,3.625,16,13.5,33.75,96.7,1.75,3.775,86.25,10.425,198.5,1.835,0,4,37.22,4.47,32.75,736.55,12.75
LH183,73,74,0,0,33.85,0,1,1,12.06,24.62,NA,14.585,3.295,13.67,11.835,23.5,93.85,2.5,3.035,68.625,6.675,186,2,0,8.165,35.1,7.885,27.22,430.3,13.5
LH184,77.5,78.5,12.5,0,19.65,0,0,1,9.725,25.245,NA,11.165,4,10.625,14.915,20.25,95.3,1.25,4.295,78.375,8.8,164.75,1.835,0,6,28.27,8.235,20.035,515.4,13.4575
LH185,71,71,95,5,22.8,0,0,1,21.69,32.36,8.1,17.08,4.33,16.58,13.33,35.67,97.1,2,4.01,74.25,9.4,203.5,1,0,9.67,37.53,6.97,30.57,1092,14.165
LH186,76,75.5,0,10,38.35,0,0,1,13.64,24.34,7.9,16.58,3.75,15.04,12.5,31.83,90.7,2.25,3.39,72.625,8.55,178,2.165,0.165,4.5,34.37,5.35,29.015,734.4,13.125
LH188,77,78.5,50,5,19.5,0,0,1.0625,11.21,21.145,7.75,18.75,3.085,17.67,10.75,34,94.35,1.75,4.46,77,9.1,206.5,1.835,0,6.665,36.115,6.8,29.32,646.15,14.25
LH189Ht,73,76,0,0,33.2,0,0,1,12.07,26.7,8.5,14.67,3.25,14.08,11,32.83,96,2,4.08,81,9.35,174,1.33,0,2,31.67,2.6,29.07,606.2,12.915
LH190,77,77.5,37.5,2.5,28.3,0,0,1,11.955,24.745,8.1,12.875,3.83,12.665,13.75,24.25,98.3,2.25,3.975,76.125,7.525,187.5,1.5,0,6.5,33.585,10.165,23.42,591.85,13.5825
