Rep,GenotypeID,PI,Anthesis,AnthesisGDD,Silking,SilkingGDD,ASI_NEW,ASIGDD_NEW,Env
2,Mo5,MN20_1683,78,1657.5,80,1705.5,-2,-48,NE2021
1,PHBW8,PI559936,60,1241.35,49,981.15,11,260.2,MI2020
2,PHBW8,PI559936,63,1315.4,63,1315.4,0,0,MI2020
1,PHBW8,PI559936,81,1569.4,82,1585.25,-1,-15.8499999999999,MI2021
2,PHBW8,PI559936,78,1526.3,77,1509.25,1,17.05,MI2021
1,PHBW8,GetFrom2021file,77,1640.5,77,1640.5,0,0,NE2020
2,PHBW8,GetFrom2021file,69,1427,69,1427,0,0,NE2020
1,PHBW8,PI 559936,66,1354.5,66,1354.5,0,0,NE2021
2,PHBW8,MN20_1273,65,1334.5,66,1354.5,-1,-20,NE2021
1,R225,PI531509,67,1403.7,71,1476.5,-4,-72.8,MI2020
2,R225,PI531509,71,1476.5,75,1536.1,-4,-59.5999999999999,MI2020
1,R225,PI531509,101,2020,103,2068.15,-2,-48.1500000000001,MI2021
2,R225,PI531509,110,2249.45,NA,NA,NA,NA,MI2021
1,R225,GetFrom2021file,80,1730.5,81,1760,-1,-29.5,NE2020
2,R225,GetFrom2021file,79,1699.5,81,1760,-2,-60.5,NE2020
1,R225,PI 531509,78,1657.5,80,1705.5,-2,-48,NE2021
2,R225,EL19_6512-4,75,1574.5,79,1682.5,-4,-108,NE2021
1,R226,PI531510,66,1385.4,70,1462.2,-4,-76.8,MI2020
2,R226,PI531510,73,1502.8,77,1590.15,-4,-87.3500000000001,MI2020
1,R226,PI531510,81,1569.4,81,1569.4,0,0,MI2021
2,R226,PI531510,89,1754.5,91,1807.4,-2,-52.9000000000001,MI2021
1,R226,GetFrom2021file,77,1640.5,79,1699.5,-2,-59,NE2020
2,R226,GetFrom2021file,77,1640.5,76,1615,1,25.5,NE2020
1,R226,PI 531510,72,1505,73,1527,-1,-22,NE2021
2,R226,MN20_1593,82,1762.5,73,1527,9,235.5,NE2021
1,R227,PI531511,67,1403.7,78,1612.9,-11,-209.2,MI2020
2,R227,PI531511,67,1403.7,75,1536.1,-8,-132.4,MI2020
1,R227,PI531511,88,1725.55,94,1862.45,-6,-136.9,MI2021
2,R227,PI531511,90,1780.95,97,1923.15,-7,-142.2,MI2021
