GenotypeID,DaysToPollen,DaysToSilk,RootLodgingPct,StalkLodgingPct,LeafAngle,PoorGerm,PotentialPollenContamination,EarsPerPlant,CobWeightGrams,HundredKernelMassGrams,GrainPercentMoisture,EarLengthCM,EarWidthCM,EarFilledLengthCM,KernelRowNumber,KernelsPerRow,PercentFill,SouthernRustSeverityScore,LeafAreaIndex,LeafLengthCM,LeafWidthCM,PlantHeightCM,ExtantLeafNumber1,NodesWithBraceRoots,TillersPerPlant,ExtantLeafNumber2,BranchesPerTassel,TasselLengthCM,BranchZoneLengthCM,TasselSpikeLengthCM,TotalGrainMassGrams,Anthesis,Silking,StandCount,EarHeightP1,EarHeightP2,EarLeafP1,EarLeafP2,FlagLeafP1,FlagLeafP2,Ear.percent.to.Flag.P1,Ear.percent.to.Flag.P2,Number.of.leaves.largest.to.ear,TasselHeightP1,TasselHeightP2,FlagHeightP1,FlagHeightP2,TasselLengthP1,TasselLengthP2,Number.of.ears,Total.Weight.of.kernels..g.,Moisture....
Mt42,62.1844957218046,63.5426664525181,2.40952391671026,97.8865268042645,NA,1.00403529539023,1.52620519298548,1.00453851519717,7.4418557983431,13.3598545487706,NA,11.6446751039915,3.10377430645191,10.8939075693605,12.7868063381826,24.4542613667695,93.3109813599423,NA,3.19527913896292,63.9625756013067,7.81600563916597,124.994949784278,10.4554417090712,0.304424938591268,-0.0202675576253528,11.6043961906133,10.2536490470199,23.4889743200422,7.48627813829695,16.0300914155654,283.381892259202,4.17721314661185,7.28001259412221,39.5860202698873,30.910340478167,56.4859445897662,10.0342520765458,9.99084289348439,14.5203251051939,14.8821711064794,0.690874038239447,0.671600307121661,1.58631140211696,139.995074454687,160.542828897974,106.245689958825,129.627200104929,33.3357263341905,29.8997879885615,4.01014798245591,164.028786596001,6.4169119391859
N192,67.790706479717,70.4619551646656,6.79163802820394,-0.0578326068659858,20.7399727796933,0.990663094748596,0.955442792023207,0.991922008237109,16.847561927947,26.1387901721775,8.02434214703339,15.1973083500899,3.72589865345346,13.2786968863467,14.4777497858915,23.2284955927984,86.9092803479552,2.65918290604337,3.2839182810595,78.4907469091406,7.94501828590477,160.824294966534,12.6142997615147,2.8705248056953,0.326779124040473,14.5786904686338,5.42225707945197,28.8135066990087,7.60523901236321,21.4099541240429,669.163210901381,14.4641760541699,14.6549420343337,39.6867131607393,77.2387304390832,69.7914781778715,12.5044722080909,13.0228370077431,17.4299444951904,18.0459698568505,0.713646449230459,0.720904990566207,-1.57450886488886,187.67893410963,178.77796663537,146.992939873957,140.392810866949,40.5671630115768,39.3338299596005,4.00584548696364,329.256137117595,8.2907789904038
N193,68.913203814609,72.16514867892,97.4694808388727,1.34746572830129,31.3367289791508,1.0060683124553,0.952216517563589,0.994404966042629,13.3317186660275,20.2712129679776,7.69948708777938,11.5432399461511,4.32831553110673,11.0083757076309,21.6497079476481,24.3660850347718,95.3820572041345,1.95522255192666,4.27536469981595,81.9554165284119,7.783388898585,177.730431248366,13.3994131552463,2.26293477118344,-0.000781293644833994,15.0207949908704,8.12531257052103,34.7417778907559,8.2971879752121,26.5025586969345,678.866527888283,12.693230233828,17.1767765950785,43.3237158972147,82.7282475695659,81.8582132229882,13.4899645825876,14.0375451447182,18.9238594569122,19.9811860270402,0.717910241030154,0.701053681678967,-0.620981209984158,186.989983391617,184.282698581301,150.135573709069,147.866516101374,37.3494132018626,36.4571185576383,4.01424362440764,275.908225891746,9.04415594293425
N199,76.1329590238723,77.3809919476856,43.3867533684996,-4.7061935184038,35.1744690705312,1.00012109692514,0.96998832927569,1.01430819457216,17.0836271943338,23.7881795293084,8.52895675217115,15.198693929833,3.93914072348101,14.0811085467778,13.3472336616074,27.1895011018163,92.655938421076,1.05169252354181,3.93431761370795,87.5434152542422,7.50624777923778,198.898321838904,17.1020232829733,2.24406457311025,0.000141512008190343,16.4984478702204,2.48235332473767,29.6566391703607,3.96441002538102,26.2811688315133,599.259176757358,21.9122290426467,22.3636583035398,41.4959221995319,113.73665761242,106.39627416555,17.0258496390312,16.9979937045947,22.4563145017331,23.8974190245136,0.758931880018788,0.710709609572327,-2.39634539882806,219.777474163636,206.762300365937,182.015067360734,174.093451486392,38.2923338952614,33.4031004394164,3.49188907063835,288.31877891104,8.09077238236874
N200,77.6934371434716,82.4086952503741,59.0634018019096,-1.67931678771479,27.322933526221,0.998381911791335,1.5280800582807,1.00335884368397,12.6858708149258,27.3365400054789,NA,15.1817262108787,3.5552248634644,14.3472200734583,12.9299179593664,26.0473784486771,94.2912841282225,1.14004175698922,3.73435456046136,88.021748610124,8.93911009116161,186.011286792248,15.2295844431445,1.22242764777165,-0.00574607547615044,16.194673206241,4.21193711050739,33.4040061354298,5.08817575136223,28.5752723629253,457.685402639363,22.230008297596,30.0962217793806,42.6960773296375,77.558839408737,76.7436422430834,13.782699225653,13.9488368137768,22.8742780903933,22.40993671429,0.6083873578844,0.620302652844181,-0.880374401297168,222.791103034537,205.761254470806,185.477567627482,169.923027219919,36.3252031834157,36.7911859822291,3.97698545803914,240.691827713066,8.77764051752022
N201,75.5372527582948,76.3435637688868,0.677053596405669,10.7853441737611,33.56779082652,0.996668058286057,0.994743871095599,0.988971371757014,16.5277982733041,22.2396974250079,8.57184461879776,12.9768080430125,4.30470110703295,11.6060341667802,16.805298582289,26.3249355399052,89.8541158957272,1.70873950637519,3.77585084105909,80.4306721309402,7.40233234498123,212.879566388804,14.2649603407998,2.83105050723257,-0.0128182897250977,15.5867201544292,7.60469719796418,27.9877385777628,8.95270310747609,19.3073478363065,687.405230427941,17.912305265992,22.3537472879239,39.9894311626467,101.616346892941,105.290434566716,13.9554367545137,14.0131505297428,19.9667410690263,20.5211337254527,0.701592082116274,0.685241631746745,-0.834521638511831,220.795929973972,236.31132038762,185.814156599982,199.796057367937,36.0917403224732,38.0017236242151,3.99417424860646,323.292205094644,8.46943043942387
N209,72.572815565156,75.0125768737838,13.9739121223953,6.15006827355805,44.4632519067268,1.00348412614064,1.01416145542024,0.996597747601403,17.0443000634355,16.6839558334578,9.116696094251,14.148611427999,4.05028196337698,13.5871717595685,19.3438830990813,30.3216459215146,96.617785828249,0.397666434499333,3.67452012504139,83.3860643180883,9.28040722242311,163.51617828408,14.2003612249946,0.900113311328507,-0.000740640705707144,15.188474097853,8.8269635790321,29.1521234554436,8.49123364082881,20.306528672266,634.290830257691,17.9814958559648,19.7382062379858,41.6733017130204,85.9320583923625,87.3907916874458,14.9590329590377,14.5520433153648,21.3962880681846,19.9685041790548,0.697191751935387,0.727223840956617,0.133417818604612,179.868206074779,170.281683827563,151.164615818307,137.157293152875,30.0709642307846,34.3404722078695,4.01699647185406,319.0921807816,8.94121287941945
N215,75.9144169363463,77.0328145901602,45.6331923812707,-2.09983838324048,30.1395572741088,1.00658871297777,1.03597257491313,1.00662566853123,15.4646058298714,24.9619319095227,7.75519587202768,11.8058747140348,4.13374217426767,10.2145259112659,18.5803812464151,19.8734854902179,87.5220384911057,1.87691093569336,3.63221947027217,82.3972812309939,9.78008190436138,181.368918210889,12.6583178726529,0.360680771244126,-0.00419428503319294,14.2874162481548,15.0165617271757,30.883328864114,9.33984866300835,21.7940659247052,580.799485833756,20.976169560398,23.0327016601616,38.331784898404,99.7114727389796,87.2599338732313,13.9794511238736,13.9848232636866,19.4150054409896,19.0598067760279,0.722310694562644,0.739639486326582,-2.28382871850023,198.609223771832,186.096132681911,169.26217832158,153.097840159683,30.098309929046,30.974893884192,4.00788294452,275.24741364461,8.77088028139565
N217,77.2267329397931,77.6901702242614,17.1584320246022,-0.604882770623902,32.1691440584344,0.996542510591989,0.990992622837591,1.05957919846156,12.5611530787954,17.9055345675504,7.7653760357977,14.3954897020742,3.6085611213953,13.7939654835772,13.8484679779174,30.033688122767,96.4653541157212,2.01857987617058,3.3997416044227,80.9511670388773,6.19841177765949,167.721996391706,12.3523552765786,1.30093903741501,-0.023492178673366,14.9161904612091,6.976497381804,32.5846232359274,9.41050347191063,23.162485386547,507.714305041186,20.2967956760905,22.1409150489216,37.4117313049037,78.3566074441148,83.8370903064501,15.1112449724004,15.5036355763508,20.9249101806983,21.5253184689211,0.71822571523216,0.719648644388099,-1.44509166854664,187.998687293524,183.194410939485,148.988628204112,149.095505886031,39.0007145330862,34.3414899785464,3.99016108295226,257.490680480452,9.55500119434314
N218,75.4288544422082,77.4701974851403,19.1099038191304,-2.12526928367466,37.5361276106501,1.00475851568614,1.02945104606524,1.01426862771321,19.1183746255237,20.6296069349871,8.44578501368315,17.8578672840195,4.04892184631374,15.6722417397358,14.8278331313626,25.7592886571697,87.6902860006269,1.75925001150126,3.48083850277558,88.0412625792013,7.36364522972803,181.277966056975,13.7895563715684,0.996607344402077,-0.00350537718111308,15.7983280709184,5.3124027596762,36.4380459613504,8.60280629641401,28.1945543299437,502.405941641042,17.9873163747268,21.2215862117959,37.1987839748046,91.2702312026719,87.8106982364607,14.6042399346608,14.964540736802,21.0375617737976,20.5639209457062,0.691470716156329,0.729316569797676,-1.44709954132762,205.496967799915,196.16821991234,166.831748984467,159.025583956573,37.9972163543843,37.3934867894268,3.99435257605782,277.429371741457,8.55716336227879
N28,74.9204072871809,76.9080528695918,4.83325233373856,9.95461407198218,24.8316097454889,1.00634002730238,0.928010280553565,0.999580057214703,16.8468907071662,33.0763215180208,NA,11.4930042166666,3.57005140823383,7.27696408485149,14.3692471104786,7.24801983002839,63.5962321646647,2.1478727215901,4.58338236429554,79.4359194180215,7.45165811821498,201.170373091585,15.6709266181726,2.08111232842612,-0.0159933920424094,16.8793019644291,12.0424175904306,29.2650110740609,10.2032100084047,18.8650921151461,175.863054771696,23.3308448414348,23.1423788318886,42.2714170694273,83.5664563417047,85.9907522303181,17.0509714385364,17.0451833686131,24.0344434019072,24.0826764785981,0.711838088096818,0.706049289207409,-0.342966180257312,189.818058811085,185.586083161474,162.920995228605,158.198378459672,27.8762722131071,27.1200286787418,2.98176925902877,159.73718676455,9.84917422831479
