GenotypeID,Yield_NEmean,Yield_MImean,Yield_NEpredicted
SD15,674.446170186897,469.914607137358,641.255749333804
PHR55,471.781048886246,639.717951551608,500.865510980856
W182E,402.989821186244,437.209146745284,434.555290021403
B90,489.479774085675,479.578071449268,513.027809321424
PHP55,835.362916564784,618.73202630424,734.339783990809
PHJ40,595.248540519359,467.263967436668,563.491219127903
PHEM7,392.601580806767,404.59260625463,392.866922273303
A,320.940320340872,225.394913728592,363.917564115032
H122w,580.748381510666,557.762455687836,562.411536056184
LH165,598.713160499259,386.799069392968,532.511700082409
A96,372.491715182789,361.296295278162,378.387681309018
B84,524.615349057283,521.593302765506,517.44442206633
LH167,630.39538265516,549.396832089588,617.776039676251
CI_540,10.420041722471,323.330170157778,157.683181945142
R101,337.24670654615,398.6572260378,402.151649603156
NC13,171.461273373985,167.246031238675,263.007357112228
Il14H,397.086926972541,271.386567854596,455.438770707876
DE3,507.777847475005,591.965437089252,534.078246305317
LH160,378.605823794767,449.682417603246,414.459107809974
AS6103,618.569480319531,577.056957339222,586.841315603493
NQ402,683.011429574285,586.29097279859,665.837215637611
ZS01250,432.021226112672,516.551619256146,460.814364672775
LH184,516.062476466772,576.512204579644,542.302234797736
ICI_893,543.052551952345,606.299666515458,531.988119316708
LH149,737.052772062017,546.644608257766,660.384433746424
W813G,553.669251297373,495.171826128602,573.194118964032
Va59,430.812449844167,604.138582891018,436.825576567677
LH52,530.823802541433,546.593955174642,536.930848800236
LH216,694.342899599595,691.409782220584,641.327264949184
A508,360.171724170431,285.455944089056,396.361098255643
PHV37,714.636948646496,544.923820673202,674.90889884965
911,538.335166028837,535.80856969403,528.585991565079
PHK93,506.343957310142,598.721064341082,477.943385639052
DKMBZA,647.260711736188,481.316392594008,543.853092002416
ND287,265.796651164194,224.685592760692,297.710219562211
Mt42,283.381892259202,328.057573192002,303.902932446746
DK84BRQ4,413.484678157486,627.245916059658,516.806276110761
Chi-tan_120,479.472452273883,402.907979885136,509.151149087425
PHP02,687.953480634498,559.94020144197,643.590356415759
INB_101LFY/LFY_(A632_X_M16_S5),309.289575024117,427.720306213752,331.253579129105
B101,432.59344152339,181.686265323649,403.6691499907
W814G,425.697059845572,498.436369917166,424.89379224773
A321,550.075771092533,282.594175514668,552.84437156811
Ia453,322.874662388437,312.143327992356,342.49295587204
K4,249.360132941744,298.703363733168,300.613089865126
MEF156-55-2,62.6055504684631,150.34718706248,194.268227802438
NC326,608.066144712829,530.94422472244,562.509561867585
PHT55,526.351977149648,457.446124655306,525.985509731015
B57,558.422383474394,447.23719296583,526.578339492503
A627,528.67646615185,383.257888206742,518.096328771655
N545,416.479873003738,533.522491598926,434.083308560171
PHM10,543.050967963848,537.572461907044,567.239518721335
A401,518.460356488427,386.784382054784,512.332200016318
K150,519.71927233665,333.115498226486,510.624427292025
PHV07,502.727276121222,578.089358341274,542.866122514232
LH200,658.543443972384,618.811097341722,641.138065981771
Mo15W,427.07205166368,290.848597750992,443.28267188977
LH39,492.205120833825,434.764599411806,544.669232593864
N540,554.847223807948,507.512353457898,527.112820530069
764,460.392491223736,418.094036416108,484.075081471363
CH753-4,479.685898926119,433.074209093924,499.724565347044
N527,397.22845265463,428.359566989034,401.488080457735
NORTH_7,536.789569908371,365.478397782028,523.176048131587
CML_91,316.770230195643,305.651422182372,335.508435223906
NK807,473.69782613204,467.084268453856,513.577952582925
WR3,365.851442843202,484.802487578342,423.151853077423
AusTRCF_306238,651.41474071267,633.61863358154,599.344956855381
B10,512.702001526736,267.597160251074,463.433598095871
Il778d,343.927784736182,469.230294587242,411.620021648556
NC264,553.216354180119,522.634650967488,495.996774756252
DKMBUB,610.94023530958,659.722822274066,601.445045812275
LH217,589.649308043024,602.632087354592,588.637076103196
Va22,472.654657293219,512.180988271118,475.685772632736
PHG80,596.787301572238,668.238832612802,584.894297441167
A632,585.153649782213,397.643457534686,572.000497479778
Ia5125B,425.846846595537,252.395096216692,419.445599356457
ZS635,743.644954323022,421.969955606732,666.483988865495
PHBB3,556.889239641486,707.985629645496,570.060170235197
B73Htrhm,643.508988051478,632.823635863506,659.555198809192
LH38,693.742733854274,498.192039301066,650.932046906338
NO._380,312.734996872403,264.896157338406,324.590461041651
CML_108,248.563294351898,9.46728996851914,375.506656328197
91IFC2,550.844767403477,459.157936514792,552.923395657047
B64,337.738051763374,473.057045968864,385.515982941069
PHR03,556.641157852899,648.383343674238,518.840366255391
WIL903,986.139259445893,661.853607862722,800.530963370126
A556,472.46191774522,371.107381296598,471.742516384419
LH146Ht,501.646017699723,368.741883782502,534.98156679808
NC362,324.86698980529,525.651346765638,393.088193981293
ND283,226.289805126242,187.53484868648,310.095610485796
NC324,238.137212307384,190.051369006358,326.042889355252
NQ508,421.653779133589,524.892332578462,490.812290474879
LH61,636.3963200926,559.121794589662,595.563057278241
LH51,709.749991429926,649.072102912622,672.158927991395
NC340,323.270740764833,284.427379672892,335.553288600589
PHTE4,507.532721997641,529.563008739122,514.080165294346
B91,326.159544993596,396.17994287067,398.247436757999
MBST,696.237940470026,836.466728119136,649.389960899708
DK78010,581.644430386706,486.860677020834,586.151043499332
NC342,549.276946814773,432.21005627379,556.935004022396
B52,319.937485456078,403.820454662608,362.035894898125
ICI_581,548.820676818247,529.997445170472,572.18914654262
W22,471.334059151201,427.828368386662,484.325214732114
R197,533.724956731606,444.069479346632,535.939266407446
DK3IBZ2,426.587268696856,486.191746304202,442.387288831304
F118,598.82512948881,511.462883361578,536.871699013409
B75,548.952217122139,789.603172152086,576.122406845536
B99,466.343753737206,478.051700337936,450.379378326718
DK6F545,544.324423005962,651.261986922832,561.408979257265
PHR62,789.976435148267,680.040449458512,720.57050958979
CI_3A,386.905588734036,152.877656008325,405.770120524384
A672,548.63811696298,420.2574790195,547.516509605461
C102,508.38118018677,358.393669481242,522.719424932896
904,553.412135414449,527.119866330902,508.016570616045
SD101,568.484554069761,448.596250408256,568.733818552069
N501,349.39157428486,394.104585220468,482.376185659765
LH145,510.285479206203,338.607902842388,507.234467692738
NC318,373.48170228236,299.920841422722,384.12243034426
CO192,375.531998142891,291.129752678942,412.398782641302
LIBC_4,645.891877373255,467.839739482462,611.545510015536
CL17,17.5016858600324,155.186916187339,123.668862420959
A340,449.402895650939,313.459723098406,459.067119935667
A71,543.113239110333,322.668390137486,538.506798509541
LH195,644.53086577596,549.982611640746,617.006964466025
A258,454.044020732005,341.897324584714,515.165624607925
DK3IIH6,619.456614784172,614.592708231148,567.364484592033
PHP76,635.967139661199,511.307291035908,619.282837595685
L317,366.992094615766,224.81309731241,371.400218403061
A322,652.124540929557,412.756541005562,584.569249128467
K55,573.266910126513,270.530752818912,524.097930061113
W182BN,461.157306197218,494.364110516952,461.164738394566
A415-1-3_INBRED,266.853011432679,425.089051484064,343.637578163544
29MIBZ2,605.394915561733,537.63997708165,584.396667448446
ND251,334.295969835098,239.143744047412,314.83041950397
F2834T,490.61492545765,342.291925163852,452.337866805976
W153R,545.184275509742,513.086883167644,445.766357026406
A155,414.356050543409,384.143943651236,436.628616298283
A635,496.060461143234,318.074976821702,510.227186280648
W24,541.677189587581,481.185124925434,538.782625037422
LH252,387.73918237764,395.742325944224,404.363329338303
ND262,419.81928016876,385.13589483273,361.682627115864
LH74,570.365332608135,385.223215389594,579.505730328423
MQ305,508.652446829505,657.649325849424,520.746119336835
R71,367.61968907041,416.31198497001,410.488016821661
H110,369.766579365109,334.343616121664,359.923972562239
PHR31,698.065878394389,656.510209062762,661.161070865318
PHN46,512.351158135214,459.24402330892,526.803676984024
PHT77,676.224326838687,728.872639659684,664.608498953824
LH222,576.829591242194,421.454404056676,560.384555304045
NC338,286.647424867856,214.893020295186,318.38703580708
LH59,748.270914257443,497.264253901238,684.587524426781
INBRED_2-687,337.515985508438,247.110933574254,360.156438158048
CO256,230.984129459657,180.10438645079,339.276200803492
PH207,589.862189490645,451.735912839064,576.388311771816
B85,537.51712844338,451.57594474307,551.485206704739
NC260,432.003426809262,410.624034407764,432.432876265056
N538,497.664061954975,542.414362615936,507.483112900241
PHR58,797.054002874972,732.083423730274,709.276255219147
MBPM,507.511045415486,355.889660106298,545.1971423783
PHN34,501.731727961339,335.394189554806,520.607204108986
DKWDAD1,619.25184994105,579.9667484567,615.411641641509
K47,315.750393045823,198.746008556758,384.868724715701
L_155,553.391090605985,551.491989599522,551.323326604097
R53,352.159283575632,305.235639135538,369.704940341934
B-28,295.055376389317,288.853008134804,367.32891434425
LH199,693.802105502796,647.379828354802,667.948341117681
PHK46,502.713051080649,521.343179150686,478.896462596394
MS222,636.631995687239,588.398144123792,613.239958610129
NC348,348.997054193791,339.180085142144,401.43142522136
LH224,515.372806936812,433.541930129764,558.531929386977
B76,516.856977292981,608.11277216326,558.884012854233
G3_T5a,184.711982414301,117.419435300836,229.085910084725
N217,507.714305041186,514.981360960904,510.88131180621
Wf9,860.833793215201,513.805262289596,732.168863390579
R78,505.889176407973,470.75259075387,475.571631577435
K201,646.715413726638,343.648419981768,546.154094480462
T8,461.229973337115,363.820485447812,468.668126317657
DKHBA1,563.469347950614,591.297968320904,561.095451956998
2FADB,710.215110390403,500.687719600758,681.681298140811
B66,521.30135467559,502.776350294606,571.240497692636
PHM57,526.784748611261,546.573238685336,518.204854519521
MS132,426.952715931421,320.320065382676,452.568017374312
LH156,490.40286790635,554.966116091488,485.046691932723
PHV57,664.301631068171,580.399466996186,632.488682341634
PHT11,729.588009095219,548.739386187832,684.244406747309
NC306,538.889495758486,484.840809280986,516.002215294625
CML_154Q,510.340098361942,404.174728541776,422.591899242276
SD40,680.72699873532,674.42623957214,642.640351601143
IBB15,570.004908429661,478.98583764012,570.760711481864
B65,461.422693958524,503.329849070372,499.318983039691
F7,198.891475939547,211.307992378174,227.198361796221
Pa392,509.423480888723,384.406112930442,535.092181476525
YE-CHI-HUNG,314.292971699905,446.917341748426,390.364810309567
Mo23W,254.971699364335,106.815497787009,302.311111413875
WIL901,480.671234371819,616.43595746026,535.315721636191
C123,561.131582239255,572.8186477456,516.324056005592
PHJR5,783.702223136597,510.41265165084,739.976577993648
K64,635.014563162667,656.075000506822,558.960888436208
Huobai,705.279921221686,216.512816453144,606.739004093627
6M502,721.800684311843,525.082566992756,654.81784384689
S_56,262.727430093288,321.303486750604,269.615095917479
A3G-3-3-1-313,339.356920213654,339.814673817926,344.87969334105
LH188,658.875696384048,621.297622651316,644.618036771427
YING-55,442.275121263514,458.785289313964,492.36452159455
K155,529.511701303363,456.71159079481,460.840606437014
F42,737.412629539974,444.084303848928,664.903687200098
N7A,546.111493560895,638.641792471002,516.104829017462
B88,151.975772208724,37.3187295459338,260.73399372308
4578_INBRED,489.156665709437,570.604749492094,477.989234161628
LH93,514.357937012578,486.124182346826,527.433347771168
A662,462.41441506191,453.712547438722,433.984048949599
OQ603,521.325037828532,478.379420787122,533.706024457456
Va102,532.644383362023,540.962612832572,555.799019154177
Oh43E,488.872110530632,482.757410009846,527.074916655941
OQ403,463.540061351893,340.581444909358,458.253242448612
IA2132,206.476475095015,230.854736410694,225.842670752568
A674,468.775957955637,465.865042779972,533.016006154658
A661,495.037510818688,436.610477978372,500.507781571161
PHAW6,675.440498478154,741.237312872726,644.263504882073
PHW20,615.273110955849,381.774062226604,613.820352674209
PHM81,500.381864116971,387.267878772508,435.209608762417
ND247,162.859061921153,110.284743047112,233.111815644457
33-16,311.602124947666,194.887687821764,353.457821057351
Va38,671.038716729608,443.077154837992,612.465889645867
DKIB014,531.11342796384,464.201851365074,550.376336807364
CI_91B,781.723115804604,601.699743072368,655.738351147047
W604S,507.134595356871,555.09876859852,544.824119678164
DKMM402A,449.34074170055,646.809428670016,471.104926875234
PHG83,627.019666557788,630.461045199346,614.122989762828
H124w,397.564758228846,380.415457806662,448.959246205809
A679,743.794450427267,640.05078580149,706.621619703561
NC298,340.748590147354,293.801280422398,359.79896564701
PHP60,475.066736323455,603.28542128178,410.366056261421
CQ806,539.339015100236,563.723167434646,556.872683487058
PHT69,747.676605028557,862.598533871336,694.61627735758
OC19,180.269602646929,234.635851348906,289.723556772723
Va26,736.96357221903,520.725730307594,643.041776834175
PHJ90,604.606751762336,655.32564836766,604.951586489534
M14,485.452421391822,194.885798786747,499.679165354449
SD44,647.515658216155,584.612408954306,646.159388497438
R225,476.145789411736,422.59839617848,443.618295387257
PHW52,693.014688081498,735.947298151838,668.532537155173
CI_21E,509.35374493629,580.077871063322,487.743051369453
Hy,544.563273579487,574.806885832128,486.312147636635
PHG47,570.882324182345,488.94628928887,567.654899744124
TZU-CHIAO-HSI-WU_105,676.589260976504,319.72129696378,615.097251989087
Lp215D,556.036276124885,640.149249563724,590.161014072943
NY_159_(Neveh_Yaar),476.77343863666,424.122072352806,483.074050003767
Va85,571.317117040254,406.537513611036,564.745381226085
IBC2,574.695964693912,521.721488676094,568.824421801665
R4,401.828673256387,310.536528882404,464.982840948345
LH189Ht,614.794184798042,621.465860292834,628.217613484239
LH162,577.884116411763,597.537778160618,518.676427355199
Va14,59.740719910445,208.791929335006,205.790336998137
80-2,405.900832499366,381.810119125948,418.22693195648
Seagull_Seventeen,744.538528902175,639.982831656118,681.335858895857
H52,241.294774593246,71.6521344218082,286.619978956025
Mo17,609.856156294766,504.085665341992,585.486182459716
PHW86,657.647358555208,504.683001136476,607.023669499782
Os420,507.983239948887,556.479412317204,530.169415589709
CO125,161.399843076495,415.191437291134,304.791171395289
LH225,518.985141509157,482.088922074,554.223843432392
W821G,585.431329066534,606.31345863135,581.785789273367
R134,520.473016638171,276.342187186618,488.232590545324
W23,605.185178630719,471.928124124144,568.040931417569
Oh40B,532.633128965567,254.94421672565,505.23130261349
LH204,511.649026739909,585.62318901748,552.594712138379
CML_322,539.511579489321,336.505022274306,461.793631608106
B87,484.593897829437,449.407544998996,524.372749137545
MS153,477.039350310847,570.860152069616,498.512155181978
PHG35,499.07445328842,333.401599617376,542.079898604729
B97,622.16628315375,706.099141892772,582.756716561391
