GenotypeID,DaysToPollen_mean,DaysToSilk_mean,RootLodgingPct_mean,StalkLodgingPct_mean,PoorGerm_mean,PotentialPollenContamination_mean,EarsPerPlant_mean,CobWeightGrams_mean,HundredKernelMassGrams_mean,EarLengthCM_mean,EarWidthCM_mean,EarFilledLengthCM_mean,KernelRowNumber_mean,KernelsPerRow_mean,PercentFill_mean,LeafLengthCM_mean,LeafWidthCM_mean,PlantHeightCM_mean,ExtantLeafNumber1_mean,NodesWithBraceRoots_mean,TillersPerPlant_mean,ExtantLeafNumber2_mean,BranchesPerTassel_mean,TasselLengthCM_mean,BranchZoneLengthCM_mean,TasselSpikeLengthCM_mean,TotalGrainMassGrams_mean,Total.Weight.of.kernels..g._mean
H121,76.189040655077,82.1372584970222,62.3840265265676,12.5539100265907,-4.31779612064531e-13,0.0701575976060447,1.00864269770718,13.0926366225583,23.2016949817485,13.3549924409877,3.70738529062576,12.4371022504081,13.5199127612576,24.1176117092203,92.2877753333689,79.2513632440629,8.57385369759045,161.603382386647,12.4177792119914,1.28271057324323,0.0195516666362028,13.7690796018391,11.1039020393861,32.4478838021904,9.30222425343118,23.1317079841047,482.537714900314,204.6
H122w,74.9425809208946,76.617700939147,11.4350928875902,3.45423916426893,9.28378207643021e-12,0.0699874783890189,1.05363815889462,13.8659131714355,23.3672969597738,13.9769340214172,3.73522203957261,12.5767984305061,14.4486914047509,25.1306920089751,90.087572598119,73.0263798992899,8.54500253542346,177.973013467496,14.1316632797961,1.38597098178024,0.0152461536588177,15.1232984316725,8.34698297172849,31.9689237436464,8.74947103757604,23.5493824724979,581.9119811427,280.35
H124w,76.1260753378589,77.8713407938838,43.2563926590294,7.0481246881173,-1.2912587665781e-13,0.0701122343118047,0.987457399706049,12.7556930434311,26.0073066711324,11.9353635271799,3.84636869374506,10.8891895727706,13.6657360489637,21.8647432881981,91.2308478143944,86.1040734753412,8.2313749095548,191.322210374826,14.0565534863722,1.30405689502515,0.018404771736329,14.7160818773294,8.72456325944284,31.2854758677373,9.66725328882549,21.5834192131003,454.447958557658,206.35
H14,75.7348007270542,83.8484219777742,17.5390475353329,48.7291827467109,-7.18070741756449e-12,0.0701099854541956,0.99906172798263,13.7774112036117,22.6151208781166,15.2407360664018,3.61087222738817,13.0049420470861,12.9590329015388,23.6248366562618,86.4425119834955,78.690715126076,9.13978780090312,187.069287786432,12.4038682683047,1.21372602056654,0.0213458409411477,14.0910478929379,18.064196488398,32.7228667987108,10.3029173809936,22.9605843587435,415.73237366121,60.7
H49,74.9838088593678,77.3812538420237,30.8207953584057,41.1328367333486,-1.64599792129572e-11,0.0701624068083299,0.991932613220741,14.3947583013401,23.7375082728572,12.2212569987244,3.88649504449083,10.8848307939781,15.6114779739972,23.2227145473117,89.6654502942648,80.538323464857,9.03800925793208,178.547729141681,14.190699514354,1.29722534000945,0.010307600096546,15.1807459274591,11.8689615177366,32.4685391977492,10.1573881738255,22.3266964256057,541.67720333491,387.9
H5,70.7066839272669,75.3662204547997,51.2815862280589,21.5084176791423,2.1696328761367e-11,0.0701830110742674,1.00610744757572,16.5814778214337,23.1041076425894,14.3620436519952,3.62271673144327,13.3886972173487,14.4440514912198,25.3224064923259,92.8796126184852,77.0755695746365,8.82087437747887,178.761346186836,12.2934655273961,1.41992322061838,0.00955766673154417,14.032389404445,11.6079565502975,30.9362294556701,10.0329862748116,20.9254335670191,492.299030348919,246.4
H52,83.2888565545739,86.8699607637694,54.2000429411489,17.2972516680043,1.3729645892413e-11,0.0701419804000458,0.998877553737962,12.8222567507364,21.1756650636171,13.3439770160254,3.48313693884071,11.4075390062575,12.8012178702918,20.7790401837019,86.8222996450132,86.3656761214225,8.57438921811967,193.301186055122,14.9034109630204,2.28032857856026,0.0227542526127371,15.3640128614548,15.4562717792861,33.1780910208892,11.5871676578033,22.3109605374969,360.20578796072,90.3
H71,73.5430265308107,75.9904289351541,49.8749175045542,31.9155386287003,-1.41988157342787e-12,0.0701009058458813,1.00728676886374,14.2305221598892,24.1256838146522,12.8896302434913,3.55338148191601,11.5989942456726,13.5554742511138,20.8770564709805,89.9052996003078,75.7237786162484,8.9477349917867,173.814981249121,13.4955844069124,1.44090075413784,0.00878862533336196,14.9461505951366,15.4577720977918,30.5527540594727,10.5790260359503,19.8325118058919,420.097240022669,284.85
H84,73.1282654039447,77.6627284995329,15.3634698531381,10.8151781195444,6.37150054938473e-12,0.0700369374182779,1.00181485492493,15.7035094586644,24.9710371831673,13.4232918337153,3.84981724130336,12.4326324324259,13.8611602921115,25.3236453816387,92.3302660694325,72.5055418218126,7.95996350538751,167.715385320073,13.8781561909546,1.12887920874679,0.00986074335973409,16.0879572689476,8.23741113160212,30.9268403473965,7.69851214620873,22.6595265094396,582.936908458223,379.9
H91,74.8246812756834,77.4922236781549,16.5873591348914,16.2469239330978,4.31692875890732e-12,0.0699529402438754,0.997764016412403,15.6181449366776,23.3151158153777,15.3566023264797,3.68716297923781,13.2552388587225,13.7714374468529,25.6433532835897,86.5277543678426,82.0618209300933,7.79420247263195,176.55530472667,13.8141807850837,1.25758840767581,0.00567898056088544,15.1433698271367,9.55609745065446,31.597755347704,8.09870714416273,23.7083815582515,528.601050289159,206.5
