GenotypeID,TotalGrainMassGrams_mean
MS142,478.473523630071
MS153,459.282446020555
MS200,508.209375865781
MS221,592.299466312791
MS222,578.190871168887
MS223,494.264431855382
MS224,495.323640908784
MS225,466.985596905981
MS226,536.026528021917
MS24A,511.973241284834
MS67,413.690605616896
MS71,475.917031356543
MS72,450.246808760572
Mt42,354.854844288992
N192,637.849693660951
N193,576.456205806869
N199,502.495896726137
N200,478.579652564977
N201,633.927527643591
N209,567.449804498723
N215,542.97975615361
N217,538.956573121235
N218,542.22903500385
N28,415.061426281271
N28Ht,471.047797870686
N501,464.147700199324
N523,507.954872012532
N527,464.902182049004
N534,522.855115812103
N538,504.50047026204
N540,514.577509216884
N542,525.960698007927
N545,485.450712064662
N6,493.428025153132
N7A,519.536475331714
NC13,308.640262337245
NC230,405.96901198316
NC232,488.776713292938
NC236,372.700555442773
NC250,452.566726748906
NC258,475.22944680437
NC260,466.67627619836
NC262,453.00520384745
NC264,455.991143863896
NC290A,418.434199747504
NC294,542.17888951298
NC298,405.962751470707
NC302,376.088930420178
NC306,482.592798115871
NC310,588.61635310537
NC318,408.31513343319
NC324,388.301930834183
NC326,601.942726977906
NC328,622.676051540096
NC338,353.381456692984
NC340,354.046897946251
NC342,495.461559710521
NC348,374.909533905332
NC350,324.554037896392
NC356,356.388312429029
NC358,465.921632790573
NC362,396.862197335099
NC364,425.633482163309
NC368,521.324260455803
ND167,312.815555551998
ND245,403.450034976765
ND246,401.727500338049
ND247,315.110518152956
ND251,381.051687869737
ND259,478.129471888139
ND260,380.809039725785
ND262,440.439893025304
ND265,452.743655548164
ND283,339.234460644411
ND287,347.52809152348
NK740,629.593144675724
NK794,574.357628965686
NK807,508.79146880663
NK907,482.10156157562
NKBCC03,565.02697863752
NKH8431,630.857374999592
NKNP901,694.538357585914
NO._380,332.963391765941
NORTH_7,508.07174386828
NP87,424.495821596481
NP899,602.450457612582
NQ402,590.388387966626
NQ508,514.100340923074
NS501,498.806687956269
NS701,621.341059379177
NY_159_(Neveh_Yaar),461.860669153866
NY_166_(Neveh_Yaar),463.607443684085
NY6371,485.769655995334
OC19,295.695802973963
Oh33,404.675311380376
Oh40B,513.601216289897
Oh43,597.280535545684
Oh43E,580.205380508695
Oh603,509.834250503284
Oh7,527.459828320829
Oh7B,510.447419918513
OQ101,445.787396012409
OQ403,507.230952330166
OQ601,590.534051708069
OQ603,588.726853708123
Os420,425.598551592564
OS602,536.440803822385
P39,335.305531827998
Pa392,456.659494751958
Pa405,454.585630605456
Pa468,407.179496570885
Pa762,562.024073540657
Pa880,423.665323985939
Pa891,537.665104138206
Pa91,563.179833334123
PH207,595.880416741506
PH5HK,675.115594318535
PHAA0,651.700036102342
PHAW6,658.869101582873
PHB09,562.067046620456
PHB47,610.367913101179
PHBA6,601.504904748994
PHBB3,632.07651073245
PHBW8,693.048483532088
PHEG9,591.295220856774
PHEM7,398.943672634313
PHEM9,577.659110186601
PHEW7,625.886657115087
PHFA5,531.36196481085
PHG29,637.260595585738
PHG35,604.638293922728
PHG39,615.766448507083
PHG47,584.519654131558
PHG50,595.797707659776
PHG71,574.36833261458
PHG80,582.260964130876
PHG83,657.466275703692
PHG84,449.303180063425
PHG86,498.358985387101
PHGG7,413.647821508423
PHGV6,596.733999705453
PHH93,615.180501617271
PHHB4,632.058112642202
PHHB9,593.494445606705
PHHH9,650.954934600886
PHJ33,679.503541905989
PHJ40,617.252954382185
PHJ65,480.565638310975
PHJ70,712.319968985965
PHJ75,478.714601037863
PHJ89,643.17784521226
PHJ90,603.253539255304
PHJR5,688.041007895232
PHK05,422.139742066604
PHK29,673.604121875219
PHK35,635.561862920597
PHK42,655.443914777215
PHK46,568.496711214765
PHK56,640.051914378415
PHK74,570.551394278532
PHK76,623.041676407835
PHK93,489.580177298465
PHKE6,657.985637737125
PHKM5,464.009590636864
PHM10,546.736525528636
PHM57,503.558944390668
PHM81,564.434507158951
PHMK0,559.071602710114
PHN11,636.785578958684
PHN18,596.288258259067
PHN34,464.941233353266
PHN41,589.739868964778
PHN46,557.753701600815
PHN47,488.121712892507
PHN66,597.218135772114
PHN73,602.36429418645
PHN82,652.047182861782
PHP02,642.646041740293
PHP38,635.734966351926
PHP55,695.504509617573
PHP60,501.574506934317
PHP76,627.725794655859
PHP85,671.363349996468
PHPR5,681.679106770787
PHR03,543.404646877019
PHR25,519.322433042233
PHR31,606.519696297362
PHR32,562.374627148648
PHR36,443.104643082517
PHR55,471.553773314568
PHR58,679.29260848597
PHR61,606.52552407207
PHR62,675.988219868756
PHR63,600.529829306079
PHRE1,587.57193718714
PHT10,656.287455573512
PHT11,621.792596871617
PHT22,625.839547461007
PHT47,634.569030117857
PHT55,589.003460293782
PHT60,532.443428860485
PHT69,679.789885014487
PHT77,637.992360245853
PHTD5,548.311358250216
PHTE4,550.879395220235
PHTM9,553.301327979972
PHV07,535.125219406943
PHV37,622.382376328672
PHV53,505.311430780317
PHV57,607.907733104809
PHV63,605.872965067298
PHV78,599.39173689056
PHVA9,639.783556056818
PHVJ4,549.891630883901
PHW03,542.522048905546
PHW06,457.775196376163
PHW17,613.535747884045
PHW20,558.729264056987
PHW30,617.401132551835
PHW43,672.404572619107
PHW51,535.120892030525
PHW52,647.254367165714
PHW53,580.642155623018
PHW80,584.583185720522
PHW86,602.179902857259
PHWG5,656.431889460659
PHWRZ,646.472238706474
PHZ51,539.689783642644
R101,407.728324501981
R113,474.43509794779
R134,462.497258869797
R177,304.263884730537
R181B,489.59528179077
R197,507.778473013905
R225,482.530143940435
R226,568.135623596502
R227,499.074522827028
R229,579.032801642465
R4,464.867932178549
R53,408.777830895293
R71,412.642810859847
R78,463.083673867674
RS_710,462.434214658695
S_56,300.492399907211
S8324,608.130716713367
S8326,621.84881624753
SD101,563.703024803586
SD102,585.675918807782
SD15,533.221210673187
SD40,620.098427697353
SD42,332.046573955303
SD44,579.902984317398
Seagull_Seventeen,631.871719784559
Sg_1533,354.289571988932
Sg_18,360.363010609377
SG_30A,322.093832453959
T141,512.456385549514
T146,302.886403144099
T232,354.60206213012
T242,263.545147130462
T8,427.889196708069
Tr,533.428196854485
Tx303,435.022247036772
