GenotypeID DaysToPollen_mean DaysToSilk_mean RootLodgingPct_mean StalkLodgingPct_mean LeafAngle_mean PoorGerm_mean PotentialPollenContamination_mean EarsPerPlant_mean CobWeightGrams_mean HundredKernelMassGrams_mean GrainPercentMoisture_mean EarLengthCM_mean EarWidthCM_mean EarFilledLengthCM_mean KernelRowNumber_mean KernelsPerRow_mean PercentFill_mean SouthernRustSeverityScore_mean LeafAreaIndex_mean LeafLengthCM_mean LeafWidthCM_mean PlantHeightCM_mean ExtantLeafNumber1_mean NodesWithBraceRoots_mean TillersPerPlant_mean ExtantLeafNumber2_mean BranchesPerTassel_mean TasselLengthCM_mean BranchZoneLengthCM_mean TasselSpikeLengthCM_mean TotalGrainMassGrams_mean
3IJI1 74.513063415185 77.7916555352188 40.8612886508882 16.6298282641028 30.8200545783983 0.00778927655928147 0.0893300915372152 1.00832156300675 13.8333359394099 23.7603942062783 8.30472881147862 12.9028814438647 3.73579605077457 11.7199164463699 13.6887056361865 22.997013220904 90.9003263339351 2.27645992413159 3.57699343722231 77.3653931745672 8.19984115665365 175.813742198535 13.0064076927387 1.32894650751326 0.0221663533432854 14.4561890336579 11.5207050492603 35.9 8.68 27.215 713.5
4554_INBRED 74.0803603218041 76.6268280671094 25.3387963981768 12.2585801494119 30.5014808201894 0.00944060557351285 0.0618628848474298 1.0331361212809 13.973389400332 23.5714534466857 8.31062135555608 13.8427412157914 3.79884049454756 12.4899155892479 13.7468244495383 24.6868881313307 90.9197113039783 2.25604988041983 3.69506771491946 77.5868457808079 8.39128905107365 176.733844273719 12.9602684138599 1.32254685463058 0.0162683590429057 14.5241719682859 8.77034940133396 21.33 7.6 13.73 263.9
4578_INBRED 71.9626398283826 74.2376505692649 25.6565877934355 15.7675631799722 30.6432377728601 0.0306806594689414 0.0692642438138108 1.00404265175434 13.7284595577302 23.0106987185513 8.34074444681986 13.0688132453543 3.73533433029595 11.7249337253273 13.6696127856729 23.1238036878587 90.1016919475376 1.98481675282976 3.56620540006522 76.6694782574761 7.98810619232759 173.278077470993 12.7265299875462 1.31561444862923 0.0245078941508162 14.3136999626119 10.3921127657896 34.97 12.75 22.215 482.3
4722 72.366242177919 74.5740050274983 26.9926706008083 16.925222487771 30.8755165242162 0.0229180828823216 0.0621107730656123 1.00780592543014 13.2944314699913 23.9705094084228 8.34061844768715 13.3511942661038 3.55339825293064 12.1092762196249 13.6315805747631 23.2825415362305 90.8683249869949 1.72412333999049 3.53408304533373 76.3769301875164 8.18387854936157 172.984346066089 12.5783661699314 1.31199386755812 0.0101915939248983 14.2703789904306 10.5987945141808 31.5 12.7 18.8 275.05
4F-234_BX_4 72.8778254874359 75.3392484676461 26.171158348131 16.7122193018306 30.589765342977 0.00950862142925856 0.0651399790397763 1.01601565525041 13.1917965883493 23.0773168953872 8.31074984867974 13.2521370209114 3.65023305102208 12.0462223791486 13.7463775402909 23.7264536122047 90.9194912461167 1.97517018130841 3.56219464158302 76.521091411876 8.15521136281051 171.885669678581 12.5979551871221 1.3223552002791 0.0172359311102991 14.2102189327177 10.1739609225974 32.17 11.73 20.43 460.7
4N506 73.8826751106331 76.707226680181 27.4661041268436 20.391928946569 30.8952796609641 0.00599012079317782 0.041492860349083 1.00781841317125 13.2764934375815 23.6852453378568 8.34207342226482 12.7235209442175 3.66393127550141 11.3456972176703 13.6316691259175 22.2932301506284 90.8637538582142 1.64290076888379 3.5587731058227 76.7680174709692 8.12874455074887 173.542928041892 12.8557871976863 1.31188058079757 0.0230123424855691 14.4676089257526 11.0015348833328 28.45 7.265 21.18 675.65
52220 70.6405270763439 72.9804968434677 32.8101049654758 12.2746183167694 30.4826298188758 0.00950831127573597 0.0654565212519676 0.993077857440839 13.9294621402246 23.8383398443151 8.31060061593249 13.5891698667619 3.71287337497852 12.4632502223843 13.7457542242428 24.5541250572894 90.927653030558 1.74709474967261 3.54766374438345 76.2249933994883 8.19040490702218 172.357136493007 12.4650845280134 1.32224190058717 0.012333309027272 14.0606174431713 8.61466732285866 30.635 9.735 20.9 377.95
6F629 73.4049620341291 76.0212741499143 25.8226013545128 20.1940871668449 30.5663389053445 0.00951782615981803 0.0652372134261223 1.00118325667766 13.4901142651339 23.4354906928008 8.31094062101071 13.0781439049967 3.71775094233614 11.9223367429677 13.7464521512936 23.3279257205158 90.9202963116483 1.81679862802137 3.61793975760271 76.8498162424978 8.27056817793187 173.400213479815 12.8151766150956 1.32238218710505 0.0156242125890796 14.3760919739945 10.5959401300048 32.885 7.8 25.085 476.8
6M502 72.2270285537612 74.8270213775207 23.1601259631182 16.0322217928477 30.6545836384568 0.00777233130105577 0.0898444942183822 1.00833394000824 13.9100309969158 23.7626354797707 8.27928165699282 13.7013021485639 3.71561418512412 12.5642323626728 13.6885456406435 24.7062530133776 91.0697289676344 1.89831030516224 3.62000447292993 76.8537930225436 8.19931905660143 176.102641554508 12.90797721719 1.32871608324443 0.0109059459521042 14.3590242579829 10.3242900790294 39.4 10.065 29.335 716.15
6M502A 72.5053935975068 74.7559158219059 22.1297316812313 13.3481848374555 30.5515439788572 0.0095197323978287 0.0662005984011815 0.994156480430881 13.981691564157 23.8273372551165 8.31079562336336 13.3791724582729 3.73907453280155 12.2028060353264 13.7461137574545 23.9378821849762 90.9205747554456 1.88045920805289 3.55006282163994 75.6245377941127 8.33249545087845 172.815855628236 12.502197524789 1.32240556436356 0.0154917246605083 14.2588376740679 9.53089370917238 39.285 10.315 28.97 514.2
