GenotypeID,TotalGrainMassGrams_mean
NY_166_(Neveh_Yaar),425.247494553073
NY6371,498.294882093643
OC19,411.542227133299
Oh33,434.413613040466
Oh40B,500.23577140092
Oh43,519.973508540613
Oh43E,608.369215413376
Oh603,497.144636931336
Oh7,490.248373404338
Oh7B,514.662968022851
OQ101,483.917578143656
OQ403,515.460005231187
OQ601,585.592075800266
OQ603,603.409497915379
Os420,544.533712130083
OS602,539.925271597672
P39,287.402086000026
Pa392,432.323038513266
Pa405,450.753512519543
Pa468,455.80049137874
Pa762,483.994357939843
Pa880,491.146268539978
Pa891,569.804493311444
Pa91,546.823640874269
PH207,599.63523951882
PH5HK,628.313454976331
PHAA0,591.833808969049
PHAW6,634.524433670454
PHB09,600.865403826821
PHB47,535.492214666743
PHBA6,534.90997819936
PHBB3,655.003903595793
PHBW8,550.727776511911
PHEG9,641.358542243961
PHEM7,411.703456576057
PHEM9,569.472315834593
PHEW7,614.115274139823
PHFA5,507.164828341589
PHG29,619.307075563721
PHG35,691.651966748482
PHG39,659.189682662397
PHG47,585.691804916001
PHG50,561.29521022087
PHG71,561.015198092631
PHG80,566.789987049966
PHG83,672.969795595872
PHG84,561.490317767828
PHG86,490.374157860113
PHGG7,452.8340687138
PHGV6,549.587477254591
PHH93,597.258515869081
PHHB4,557.977482125061
PHHB9,510.413100640564
PHHH9,566.545229965177
PHJ33,658.009452419737
PHJ40,635.481109474644
PHJ65,454.669820134551
PHJ70,679.018521131933
PHJ75,449.800812663012
PHJ89,645.440249240116
PHJ90,616.573379409152
PHJR5,626.704937877879
PHK05,370.856372264964
PHK29,621.604268488171
PHK35,625.695043653173
PHK42,625.642318086871
PHK46,582.771079585351
PHK56,566.020684809816
PHK74,581.622385508148
PHK76,589.924765862314
PHK93,460.694690742526
PHKE6,637.636723243275
PHKM5,471.297658544636
PHM10,555.541793833261
PHM57,484.508146355174
PHM81,613.170080787532
PHMK0,551.684047592784
PHN11,620.647913937033
PHN18,606.310187374205
PHN34,453.003414119928
PHN41,516.776220513056
PHN46,593.768316023108
PHN47,500.28326150261
PHN66,547.725582058614
PHN73,661.396001419972
PHN82,651.624672624259
PHP02,618.384978535458
PHP38,664.428162362878
PHP55,657.422084273811
PHP60,486.96688773152
PHP76,607.437840847267
PHP85,703.326364138361
PHPR5,602.237654940992
PHR03,586.431074306189
PHR25,548.388762482798
PHR31,574.458665488212
PHR32,505.435905480459
PHR36,474.923084275724
PHR55,507.3988055857
PHR58,610.691420410261
PHR61,587.105218199064
